participantID,modelType,lambda,sigma_av_a_low,sigma_av_v_low,p_c,sigma_av_a_high,sigma_av_v_high,AIC,BIC
sx,logLinearMismatch_contextualPrior,1.6883539501577616e-05,0.3050813876232132,0.3055823031882755,0.9967612093799282,1.2550798136740924,0.12686348999850453,2164.2025175400745,2198.2638582431355
sx,lognorm_sharedPrior,8.395750395634449e-05,0.3212084532424035,0.33288087023879825,0.9999998988808834,1.5958319146728628,0.10596473838614458,2149.6521474812293,2179.4558205964076
sx,logLinearMismatch_sharedPrior,4.65638935565893e-05,0.3061444669961929,0.31183541417121885,0.996482413969934,1.129570288658142,0.11347991116344928,2162.656785211404,2192.4604583265823
sx,lognorm_contextualPrior,0.0008648830690390213,0.3049621103138997,0.3281370984678255,0.9989145857808006,1.6567235560995324,0.11053705302488197,2149.2529041231815,2183.3142448262424
sx,gaussian_contextualPrior,0.02403827160596847,0.18041607856750486,0.1435198771953583,0.8096958819389344,0.7976537132263184,0.1268308073282242,2142.61707731845,2176.678418021511
sx,gaussian_sharedPrior,0.015899938300663052,0.19083264995460925,0.1556243939709384,0.9121052513835461,0.9224472319666529,0.13248603971514966,2144.688748480035,2174.4924215952133
mt,lognorm_sharedPrior,0.020897535852380134,0.15940189110520742,0.36494658068663766,0.7930938635918534,0.5677797825074095,0.12809260270089454,2198.218145989278,2225.3818768940832
mt,lognorm_contextualPrior,0.039394585053332765,0.15494659273887462,0.2754976264783817,0.34830525950761226,0.5738493348702832,0.15230595456466745,2200.3902543813892,2231.4345182725947
mt,logLinearMismatch_sharedPrior,0.03168845325708389,0.14766171336174005,0.39670308589935305,0.5512503270208836,0.5215777206420898,0.1392464220523834,2197.9284097267664,2225.0921406315715
mt,gaussian_contextualPrior,0.023177325269352872,0.1000012985013018,0.1976084056786203,0.708988836441061,0.24789208153961229,0.10484932256622415,2216.5311807074368,2247.575444598642
mt,logLinearMismatch_contextualPrior,0.03333685565157793,0.1576172737026354,0.3959259077458409,0.8553504647667752,0.5178268876019865,0.10864599672786426,2203.3961469344763,2234.4404108256817
mt,gaussian_sharedPrior,0.025978732408930227,0.1,0.16197283640036397,0.700037410072147,0.29276007230233514,0.10173618541414271,2215.3958216123033,2242.5595525171084
mh,logLinearMismatch_sharedPrior,0.1679772521587438,0.4841534126654733,0.4692945398576558,0.9602992045640306,0.8472761832084507,5.51058285054723e-05,2427.151856980085,2456.5978884671595
mh,lognorm_contextualPrior,0.16463719606399535,0.5204978156089782,0.44239670991897573,0.5613318871974945,0.7486612319946289,0.0,2425.382808676991,2459.0354160907905
mh,logLinearMismatch_contextualPrior,0.1280237752944231,0.5584981090133078,0.4617022805544547,0.10119457374834456,0.9451248225197196,0.001627977832686145,2429.608610235547,2463.2612176493467
mh,lognorm_sharedPrior,0.18463516235351562,0.48277618408203127,0.4382550048828125,0.7970141021728516,0.82729248046875,4.920959472655417e-05,2428.01972130817,2457.4657527952445
