standardDur,testDurS,deltaDurS,logDeltaDur,logDeltaDurMs,unbiasedVisualStandardDur,unbiasedVisualTestDur,audNoise,conflictDur,chose_test,chose_standard,responses
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,1,0,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,1,0,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,1,0,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
0.5,0.02206999999999998,-0.47793,-3.1203888781535474,-3.1203888781535474,0.32999999999999996,0.02206999999999998,0.1,-0.17,0,1,1
