,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue,VisualPSE
0,0.49951,1.2,1,0.38296,0.48286,0.94906,0,2.33937,-0.95,-0.47453,0.02498,5,2D1U,2.0,True,0.913,0,False,right,0.44956,0.2861,0.5108,0.2247,1.136,2.286,1.15,A,0.2
1,0.49951,1.2,2,0.44956,0.24143,0.81586,1,2.03134,-0.95,-0.47453,0.02498,5,lapse_rate,2.0,False,16.257,0,False,right,-0.44956,1.5375,1.7624,0.2249,0.5705,0.8206,0.2501,A,0.2
2,0.49951,1.2,2,0.65768,0.43291,0.82419,2,2.43927,-0.95,-0.47453,0.02498,5,1D2U,2.0,False,0.113,0,False,right,0.44956,2.2062,2.4311,0.2249,0.3314,1.481,1.1496,A,0.2
3,0.49951,0.1,2,0.41626,0.35798,0.70763,3,2.08961,-0.79,-0.39128,0.10823,5,2D1U,1.0,True,0.429,0,False,left,-0.44956,1.4002,1.7252,0.325,0.5333,0.8005,0.2673,A,0.22
4,0.49951,0.1,1,0.50783,0.38296,1.22379,4,3.56315,0.9,0.44956,0.94906,5,lapse_rate,2.0,False,0.824,0,False,right,0.44956,0.3956,1.562,1.1665,2.4537,3.6199,1.1662,A,0.22
5,0.49951,0.1,1,0.29138,0.44956,0.44123,5,2.63074,0.9,0.44956,0.94906,5,lapse_rate,2.0,False,1.067,0,False,right,-0.44956,0.1805,1.3476,1.1671,1.9054,2.1721,0.2667,A,0.22
6,0.49951,0.1,1,0.63271,0.333,0.63271,6,2.28108,-0.63,-0.31635,0.18315,5,2D1U,2.0,True,0.925,0,False,right,0.44956,0.5216,0.9222,0.4006,1.2219,2.3883,1.1663,A,0.22
7,0.49951,1.2,2,0.24975,0.24143,0.51616,7,1.53183,-0.95,-0.47453,0.02498,5,1D2U,2.0,False,0.813,0,False,right,-0.44956,1.0436,1.268,0.2244,0.3768,0.6267,0.2499,A,0.2
