,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.4997,1.1993,2,0.4831,0.5414,0.558,0,2.2071,-0.75,-0.3748,0.1249,5,3U1D,1.0,True,0.509,0,False,left,-0.05,1.6528,1.7278,0.075,0.4112,1.0527,0.6415,A
1,0.4997,0.0999,2,0.5414,0.4581,0.7163,1,2.3154,-0.8,-0.3998,0.0999,5,lapse_rate,1.0,True,4.587,0,False,left,0.05,1.8704,1.9204,0.05,0.4703,1.1118,0.6415,A
2,0.4997,1.1993,1,0.6496,0.4498,0.6413,2,3.1149,0.75,0.3748,0.8745,5,3D1U,1.0,True,1.955,0,False,left,0.0,0.6087,1.5748,0.966,2.1745,2.766,0.5915,V
3,0.4997,0.0999,2,0.4914,0.5664,0.5664,3,3.0234,0.8,0.3998,0.8995,5,lapse_rate,2.0,True,2.401,0,False,right,-0.05,1.6694,2.5191,0.8497,0.4193,1.0612,0.6419,V
4,0.4997,1.1993,1,0.5664,0.5997,0.683,4,2.4737,-0.75,-0.3748,0.1249,5,2U1D,2.0,True,1.956,0,False,right,0.05,0.5227,0.7395,0.2168,1.3564,1.998,0.6417,A
5,0.4997,0.0999,1,0.4831,0.5081,0.8495,5,2.4653,-0.75,-0.3748,0.1249,5,3U1D,2.0,True,1.736,0,False,right,0.0,0.44,0.6564,0.2164,1.4648,2.0564,0.5916,A
6,0.4997,0.0999,2,0.6247,0.583,0.6247,6,3.2066,0.75,0.3748,0.8745,5,2D1U,2.0,True,2.345,0,False,right,-0.05,1.8609,2.6859,0.825,0.5527,1.1944,0.6417,A
7,0.4997,0.0999,2,0.4747,0.4747,0.633,7,2.9566,0.75,0.3748,0.8745,5,2D1U,2.0,True,0.175,0,False,right,0.05,1.7204,2.5449,0.8245,0.4036,1.0452,0.6416,A
8,0.4997,1.1993,1,0.4081,0.633,0.4997,8,2.1654,-0.75,-0.3748,0.1249,5,3U1D,2.0,True,1.853,0,False,right,0.0,0.363,0.5799,0.2169,1.038,1.6298,0.5918,V
9,0.4997,1.1993,2,0.5913,0.4248,0.6163,9,2.232,-0.8,-0.3998,0.0999,5,lapse_rate,1.0,True,1.767,0,False,left,-0.05,1.8197,1.8696,0.0499,0.5197,1.1615,0.6418,V
10,0.4997,1.1993,1,0.4747,0.4081,0.7829,10,2.2903,-0.75,-0.3748,0.1249,5,2U1D,1.0,False,2.416,0,False,left,0.05,0.4323,0.6489,0.2166,1.3659,2.0074,0.6415,V
11,0.4997,1.1993,2,0.4997,0.4414,0.8829,11,3.1982,0.75,0.3748,0.8745,5,3D1U,2.0,True,1.503,0,False,right,0.0,1.9767,2.8014,0.8247,0.4596,1.0513,0.5916,A
12,0.4997,0.0999,2,0.4164,0.4664,0.5081,12,1.9406,-0.9,-0.4498,0.05,5,2U1D,1.0,True,2.125,0,False,left,-0.05,1.5364,1.5364,0.0,0.3449,0.9868,0.6419,V
