,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard
71,0.5003,0.7504,1,0.5587,0.4836,0.7171,71,3.2102,0.9,0.4503,0.9505,5,lapse_rate,1.0,True,0.248,0,False,left,0.0,0.5563,1.5063,0.95,2.2229,2.723,0.5001
72,0.5003,0.1001,2,0.4169,0.5253,0.7504,72,2.2433,-0.9,-0.4503,0.0504,5,lapse_rate,1.0,True,0.738,0,False,left,0.05,1.6673,1.7174,0.0501,0.4173,0.9174,0.5001
73,0.5003,0.1001,1,0.4169,0.5086,0.7087,73,2.4759,-0.3147,-0.1584,0.3414,5,2U1D,2.0,True,0.322,4,False,right,-0.05,0.4174,0.7593,0.3418,1.4676,1.9677,0.5001
74,0.5003,0.1001,1,0.592,0.5587,0.8588,74,2.8517,-0.318,-0.1584,0.3419,5,3U1D,2.0,True,0.375,1,False,right,0.0,0.5852,0.9267,0.3416,1.7851,2.2851,0.4999
75,0.5003,0.1001,1,0.4919,0.6337,0.592,75,3.0771,0.716,0.3585,0.8592,5,2D1U,1.0,True,0.243,6,True,left,0.05,0.4874,1.3461,0.8586,1.9377,2.4377,0.5
76,0.5003,0.7504,1,0.542,0.4252,0.6337,76,2.7011,0.2044,0.1001,0.5999,5,3D1U,1.0,True,1.84,2,False,left,-0.05,0.5425,1.1423,0.5999,1.7759,2.2759,0.5
77,0.5003,0.7504,1,0.5503,0.592,0.6587,77,2.6432,-0.318,-0.1584,0.3419,5,3U1D,1.0,False,1.487,1,False,left,0.0,0.5492,0.8912,0.3419,1.549,2.0494,0.5004
78,0.5003,0.7504,2,0.4669,0.517,0.8005,78,3.1439,0.716,0.3585,0.8592,5,2D1U,2.0,True,0.495,6,True,right,0.05,1.7617,2.6201,0.8584,0.4618,0.9619,0.5001
79,0.5003,0.1001,1,0.6337,0.4919,0.7421,79,2.7094,-0.3147,-0.1584,0.3414,5,2U1D,2.0,True,0.277,4,False,right,-0.05,0.6278,0.9694,0.3417,1.7109,2.2111,0.5002
80,0.5003,0.1001,1,0.4836,0.6337,0.7838,80,3.0017,0.2044,0.1001,0.6003,5,3D1U,1.0,True,0.161,2,False,left,0.0,0.4844,1.0846,0.6002,1.8679,2.3677,0.4998
81,0.5003,0.1001,2,0.5503,0.5503,0.8088,81,3.3607,0.9,0.4503,0.951,5,lapse_rate,2.0,True,0.234,0,False,right,0.05,1.8591,2.8092,0.9501,0.5509,1.0511,0.5002
82,0.5003,0.1001,2,0.5503,0.5587,0.617,82,2.6094,-0.2249,-0.1084,0.3831,5,2U1D,1.0,True,0.21,4,False,left,-0.05,1.667,2.0504,0.3833,0.5504,1.0505,0.5
83,0.5003,0.7504,2,0.5503,0.5753,0.7004,83,2.6015,-0.452,-0.2251,0.2752,5,3U1D,1.0,True,0.475,1,False,left,0.0,1.7469,2.0217,0.2747,0.547,1.047,0.5
84,0.5003,0.7504,1,0.4753,0.542,0.5086,84,2.0766,-0.9,-0.4503,0.0504,5,lapse_rate,2.0,True,0.158,0,False,right,0.05,0.4749,0.5247,0.0498,1.0327,1.5333,0.5006
85,0.5003,0.7504,1,0.5003,0.4919,0.7171,85,3.0263,0.6262,0.3168,0.8167,5,2D1U,1.0,True,2.519,7,True,left,-0.05,0.4937,1.3106,0.8169,2.027,2.5271,0.5001
86,0.5003,0.7504,2,0.5336,0.542,0.617,86,2.7516,0.1147,0.0584,0.5587,5,3D1U,2.0,True,0.163,2,False,right,0.0,1.6486,2.2073,0.5587,0.5319,1.032,0.5001
87,0.5003,0.1001,1,0.4086,0.517,0.8755,87,2.577,-0.452,-0.2251,0.2756,5,3U1D,2.0,True,0.36,1,False,right,0.05,0.4075,0.6825,0.275,1.5574,2.0582,0.5008
88,0.5003,0.1001,1,0.642,0.4669,0.592,88,2.2508,-0.9,-0.4503,0.0496,5,lapse_rate,2.0,True,0.158,0,False,right,-0.05,0.6387,0.6883,0.0496,1.2802,1.7804,0.5002
89,0.5003,0.1001,1,0.4919,0.4919,0.7421,89,3.0433,0.6262,0.3168,0.8171,5,2D1U,1.0,True,0.288,7,True,left,0.0,0.4917,1.3082,0.8165,2.0495,2.55,0.5005
90,0.5003,0.1001,2,0.4169,0.5003,0.7004,90,2.5019,-0.2249,-0.1084,0.384,5,2U1D,1.0,True,0.161,4,False,left,0.05,1.6103,1.9938,0.3834,0.4103,0.9103,0.5
91,0.5003,0.7504,2,0.4836,0.6254,0.7004,91,2.8679,0.1147,0.0584,0.5582,5,3D1U,2.0,True,0.48,2,False,right,-0.05,1.6814,2.2398,0.5584,0.4815,0.9811,0.4996
92,0.5003,0.7504,2,0.5336,0.5587,0.5587,92,2.71,0.1147,0.0584,0.5587,5,3D1U,1.0,False,0.911,2,False,left,0.0,1.5894,2.1479,0.5585,0.5314,1.0315,0.5001
93,0.5003,0.7504,2,0.4086,0.4169,0.5503,93,2.1517,-0.452,-0.2251,0.2756,5,3U1D,1.0,True,0.38,1,False,left,0.05,1.4537,1.7288,0.2751,0.4039,0.9039,0.5
94,0.5003,0.1001,2,0.4336,0.5753,0.6754,94,2.6178,-0.1351,-0.0667,0.4332,5,2U1D,1.0,True,0.161,4,False,left,-0.05,1.6084,2.0421,0.4337,0.4336,0.9335,0.4999
95,0.5003,0.1001,1,0.6087,0.5253,0.6003,95,3.0017,0.5364,0.2668,0.7671,5,2D1U,2.0,False,0.854,7,False,right,0.0,0.6084,1.3751,0.7667,1.975,2.4753,0.5003
