,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue,VisualPSE
447,0.49958,0.1,2,0.33305,0.29142,0.64112,447,2.13153,-0.27,-0.13322,0.36636,5,1D2U,1.0,True,0.488,45,False,left,-0.44962,1.2467,1.8302,0.5835,0.4468,0.7131,0.2663,A,0.22
448,0.49958,1.2,2,0.38301,0.43297,0.77434,448,2.69772,0.21,0.10824,0.60782,5,2D1U,2.0,True,0.483,56,True,right,0.44962,1.8828,2.6912,0.8083,0.0575,1.2079,1.1504,A,0.2
449,0.49958,1.2,2,0.24146,0.3164,0.55786,449,2.19814,0.17,0.08326,0.58284,5,2D1U,2.0,True,0.414,57,True,right,-0.44962,1.074,1.8573,0.7833,0.3656,0.6157,0.2501,A,0.2
450,0.49958,0.1,2,0.30807,0.49958,0.80765,450,2.48124,-0.27,-0.13322,0.36636,5,1D2U,1.0,True,0.112,45,False,left,0.44962,1.8415,2.4248,0.5834,999,1.1411,-997.8589,A,0.22
451,0.49958,0.1,2,0.24979,0.28309,0.83263,451,2.2481,-0.23,-0.11657,0.38301,5,1D2U,1.0,True,0.163,46,True,left,-0.44962,1.3562,1.9558,0.5996,0.3643,0.6306,0.2664,A,0.22
452,0.49958,1.2,2,0.4746,0.54121,0.81598,452,2.91421,0.17,0.08326,0.58284,5,2D1U,1.0,False,0.191,57,True,left,0.44962,2.0159,2.7984,0.7825,0.1484,1.2985,1.1501,A,0.2
453,0.49958,1.2,1,0.29975,0.29975,0.72439,453,2.20648,-0.23,-0.11657,0.38301,5,1D2U,1.0,False,1.502,46,True,left,-0.44962,0.1981,0.7812,0.583,1.6315,1.8814,0.2499,A,0.2
454,0.49958,0.1,2,0.39966,0.39134,0.68275,454,2.33969,-0.27,-0.13322,0.36636,5,1D2U,1.0,True,0.114,47,True,left,0.44962,1.8072,2.3902,0.583,0.065,1.2315,1.1665,A,0.22
455,0.49958,0.1,1,0.25811,0.39966,0.67443,455,2.19814,-0.27,-0.13322,0.36636,5,1D2U,1.0,False,0.348,47,True,left,-0.44962,0.1472,0.7307,0.5835,1.5223,1.7891,0.2668,A,0.22
456,0.49958,1.2,1,0.42464,0.37468,0.54121,456,2.44793,0.21,0.10824,0.60782,5,2D1U,1.0,True,0.114,58,True,left,0.44962,0.3276,1.1362,0.8086,1.3528,2.5108,1.1581,A,0.2
457,0.49958,1.2,2,0.3164,0.3164,0.83263,457,2.57283,0.21,0.10824,0.60782,5,2D1U,2.0,True,0.271,58,True,right,-0.44962,1.4216,2.2304,0.8088,0.4382,0.6883,0.2501,A,0.2
458,0.49958,0.1,2,0.37468,0.3164,1.09907,458,2.87257,0.17,0.08326,0.58284,5,2D1U,2.0,True,0.217,59,True,right,0.44962,2.1976,2.9973,0.7997,0.0386,1.2055,1.1669,A,0.22
459,0.49958,0.1,1,0.3497,0.23314,0.64112,459,2.06492,-0.31,-0.1582,0.34138,5,1D2U,2.0,True,0.345,47,False,right,-0.44962,0.2377,0.7961,0.5584,1.5541,1.8216,0.2675,A,0.22
460,0.49958,1.2,2,0.54121,0.48292,0.78267,460,2.88922,0.17,0.08326,0.58284,5,2D1U,2.0,True,0.908,59,True,right,0.44962,2.0497,2.8326,0.7829,0.2161,1.3663,1.1502,A,0.2
461,0.49958,1.2,2,0.44962,0.21648,0.44962,461,2.18149,0.13,0.06661,0.56619,5,2D1U,2.0,True,0.167,59,False,right,-0.44962,1.1752,1.9419,0.7668,0.5754,0.825,0.2496,A,0.2
462,0.49958,0.1,2,0.33305,0.57451,1.32388,462,3.29721,0.13,0.06661,0.56619,5,2D1U,1.0,False,0.174,59,False,left,0.44962,2.3863,3.1699,0.7836,0.0026,1.1693,1.1667,A,0.22
463,0.49958,0.1,1,0.39966,0.34138,0.79932,463,2.38132,-0.31,-0.1582,0.34138,5,1D2U,1.0,False,0.983,47,False,left,-0.44962,0.2933,0.8521,0.5588,1.7686,2.0354,0.2669,A,0.22
464,0.49958,1.2,2,0.3497,0.6661,1.18233,464,3.28055,0.17,0.08326,0.58284,5,2D1U,1.0,False,0.891,60,True,left,0.44962,2.2544,3.0379,0.7835,0.0208,1.171,1.1502,A,0.2
465,0.49958,1.2,2,0.20816,0.44129,0.5079,465,1.98165,-0.35,-0.17485,0.32472,5,1D2U,2.0,False,0.775,47,False,right,-0.44962,0.9911,1.5167,0.5255,0.3329,0.5831,0.2502,A,0.2
466,0.49958,0.1,1,0.54953,0.38301,0.83263,466,2.87257,0.21,0.10824,0.60782,5,2D1U,1.0,True,0.85,60,False,left,0.44962,0.4396,1.2643,0.8247,1.7649,2.9311,1.1663,A,0.22
467,0.49958,0.1,2,0.34138,0.35803,0.84095,467,2.34801,-0.39,-0.1915,0.30807,5,1D2U,1.0,True,0.861,47,False,left,-0.44962,1.4545,1.9796,0.5251,0.4546,0.7213,0.2667,A,0.22
468,0.49958,1.2,2,0.36636,0.33305,0.6661,468,2.17316,-0.39,-0.1915,0.30807,5,1D2U,1.0,True,0.114,47,False,left,0.44962,1.7618,2.2706,0.5087,0.0449,1.1947,1.1498,A,0.2
