,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
142,0.49979,0.1,1,0.25823,0.42482,0.64973,142,2.20742,-0.244,-0.12495,0.37485,5,2U1D,2.0,True,0.567,12,True,right,0.1666,0.1739,0.7162,0.5423,1.1991,2.0329,0.8338,A
143,0.49979,0.1,2,0.23324,0.41649,0.7247,143,2.59059,0.43,0.21658,0.71637,5,2D1U,2.0,True,0.142,10,True,right,-0.0833,1.5812,2.2152,0.634,0.1893,0.773,0.5837,A
144,0.49979,1.2,1,0.28322,0.3332,0.45814,144,1.72429,-0.7,-0.34986,0.14994,5,lapse_rate,2.0,True,0.432,0,False,right,0.1666,0.2191,0.511,0.2919,0.8199,1.6278,0.8079,A
145,0.49979,1.2,2,0.43315,0.32487,0.74969,145,2.40734,-0.208,-0.09996,0.39984,5,2U1D,2.0,False,1.304,13,True,right,-0.0833,1.7796,2.1035,0.3239,0.4034,0.9618,0.5585,A
146,0.49979,1.2,2,0.19992,0.38318,0.4748,146,2.27406,0.43,0.21658,0.71637,5,2D1U,2.0,True,0.239,10,True,right,0.1666,1.3981,2.0397,0.6416,0.0488,0.8562,0.8074,A
147,0.49979,1.2,2,0.30821,0.29155,0.6414,147,1.89089,-0.7,-0.34986,0.14994,5,lapse_rate,1.0,True,0.341,0,False,left,-0.0833,1.5462,1.6213,0.0751,0.2802,0.8378,0.5576,A
148,0.49979,0.1,1,0.41649,0.42482,0.6414,148,2.35735,-0.244,-0.12495,0.37485,5,2U1D,2.0,True,0.666,14,True,right,0.1666,0.3294,0.8711,0.5416,1.346,2.1799,0.834,A
149,0.49979,0.1,1,0.21658,0.37485,0.69138,149,2.63225,0.7,0.34986,0.84965,5,lapse_rate,1.0,True,0.275,0,False,left,-0.0833,0.1308,1.1472,1.0164,1.797,2.3806,0.5836,A
150,0.49979,0.1,2,0.31654,0.19992,0.70804,150,2.09914,-0.244,-0.12495,0.37485,5,2U1D,1.0,True,0.992,14,True,left,0.1666,1.7757,2.0675,0.2918,0.1503,0.9836,0.8333,A
151,0.49979,1.2,1,0.40817,0.44981,0.79967,151,2.85715,0.394,0.19992,0.69971,5,2D1U,2.0,False,0.184,10,False,right,-0.0833,0.3425,1.1848,0.8423,1.96,2.5173,0.5574,A
152,0.49979,1.2,2,0.20825,0.37485,0.49979,152,1.98252,-0.208,-0.09996,0.39984,5,2U1D,1.0,True,0.875,15,True,left,0.1666,1.4306,1.7555,0.3249,0.0561,0.8638,0.8077,A
153,0.49979,1.2,2,0.29988,0.44148,0.43315,153,1.82424,-0.7,-0.34986,0.14994,5,lapse_rate,1.0,True,0.85,0,False,left,-0.0833,1.3313,1.4062,0.075,0.273,0.8318,0.5588,A
154,0.49979,0.1,2,0.22491,0.26656,0.43315,154,2.14078,0.43,0.21658,0.71637,5,2D1U,2.0,True,0.183,11,True,right,0.1666,1.4056,2.0392,0.6336,0.056,0.8896,0.8335,A
155,0.49979,1.2,2,0.24157,0.34153,0.6414,155,1.87423,-0.7,-0.34986,0.14994,5,lapse_rate,1.0,True,1.948,0,False,left,-0.0833,1.4799,1.555,0.0751,0.2134,0.7717,0.5583,A
156,0.49979,0.1,1,0.3332,0.2499,0.43315,156,1.91588,-0.208,-0.09996,0.39984,5,2U1D,2.0,True,0.126,15,True,right,0.1666,0.2476,0.8138,0.5661,1.0805,1.9139,0.8333,A
157,0.49979,1.2,2,0.44148,0.39984,0.85798,157,2.91546,0.43,0.21658,0.71637,5,2D1U,2.0,True,0.107,11,True,right,-0.0833,1.9009,2.5429,0.642,0.4179,0.9759,0.558,A
158,0.49979,1.2,1,0.41649,0.32487,0.42482,158,2.08246,-0.172,-0.0833,0.41649,5,2U1D,2.0,True,0.555,15,False,right,0.1666,0.3501,0.9087,0.5586,1.1838,1.9923,0.8085,A
159,0.49979,0.1,1,0.29155,0.26656,0.8913,159,2.64891,0.394,0.19992,0.69971,5,2D1U,1.0,True,0.234,12,True,left,-0.0833,0.2104,1.0772,0.8668,1.9268,2.5106,0.5837,A
160,0.49979,0.1,2,0.22491,0.34153,0.77468,160,1.99085,-0.7,-0.34986,0.14994,5,lapse_rate,1.0,True,0.383,0,False,left,0.1666,1.7464,1.8131,0.0666,0.055,0.8881,0.8331,A
161,0.49979,1.2,2,0.23324,0.39151,0.52478,161,2.49897,0.7,0.34986,0.84965,5,lapse_rate,2.0,True,0.52,0,False,right,-0.0833,1.3609,2.1356,0.7748,0.2106,0.7691,0.5585,A
162,0.49979,0.1,2,0.37485,0.21658,0.85798,162,2.64891,0.394,0.19992,0.69971,5,2D1U,2.0,True,1.031,12,True,right,0.1666,1.9844,2.6016,0.6172,0.21,1.0433,0.8334,A
163,0.49979,1.2,1,0.27489,0.23324,0.40817,163,1.83258,-0.172,-0.0833,0.41649,5,2U1D,2.0,True,0.824,15,False,right,-0.0833,0.2099,0.7683,0.5584,1.1513,1.7102,0.5589,A
164,0.49979,1.2,1,0.2499,0.27489,0.49979,164,1.95752,-0.136,-0.06664,0.43315,5,2U1D,2.0,True,0.863,15,False,right,0.1666,0.1838,0.759,0.5752,1.1089,1.9175,0.8087,A
165,0.49979,0.1,1,0.27489,0.42482,0.40817,165,2.29072,0.358,0.17493,0.68305,5,2D1U,1.0,True,0.491,12,False,left,-0.0833,0.1888,1.0387,0.8499,1.4054,1.9883,0.583,A
166,0.49979,0.1,1,0.26656,0.2499,0.70804,166,2.57394,0.7,0.34986,0.84965,5,lapse_rate,1.0,True,1.16,0,False,left,0.1666,0.1807,1.1967,1.0161,1.7385,2.572,0.8335,A
167,0.49979,0.1,1,0.32487,0.29155,0.84965,167,2.39901,-0.136,-0.06664,0.43315,5,2U1D,2.0,True,1.361,15,False,right,-0.0833,0.2428,0.8427,0.5999,1.6507,2.2347,0.584,A
168,0.49979,1.2,1,0.31654,0.2499,0.78301,168,2.53229,0.358,0.17493,0.68305,5,2D1U,2.0,False,0.517,12,False,right,0.1666,0.2491,1.0743,0.8252,1.7071,2.5157,0.8086,A
169,0.49979,1.2,2,0.41649,0.30821,0.59142,169,2.51562,0.394,0.19992,0.69971,5,2D1U,2.0,True,0.508,13,True,right,-0.0833,1.6057,2.2308,0.6252,0.3891,0.9475,0.5583,A
170,0.49979,0.1,1,0.19992,0.22491,0.77468,170,2.39901,0.394,0.19992,0.69971,5,2D1U,1.0,True,1.758,13,True,left,0.1666,0.1196,0.9864,0.8668,1.5952,999,997.4048,A
171,0.49979,0.1,2,0.25823,0.43315,0.78301,171,2.65723,0.358,0.17493,0.68305,5,2D1U,2.0,True,0.713,14,True,right,-0.0833,1.6632,2.2626,0.5994,0.2126,0.7968,0.5842,A
172,0.49979,1.2,2,0.34986,0.29988,0.60808,172,2.20742,-0.1,-0.04998,0.44981,5,2U1D,1.0,True,0.806,15,False,left,0.1666,1.6818,2.0567,0.375,0.198,1.0075,0.8095,A
