,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
50,0.49851,0.1,2,0.27418,0.33234,0.78931,50,2.84151,0.9,0.44866,0.94717,5,lapse_rate,2.0,True,0.842,0,False,right,0.08309,1.7736,2.6395,0.8659,0.148,0.898,0.75,A
51,0.49851,0.1,1,0.42374,0.39881,0.63145,51,2.16022,-0.582,-0.2908,0.20771,5,2U1D,2.0,True,0.239,5,False,right,-0.24926,0.3391,0.714,0.3749,1.3889,1.8059,0.417,A
52,0.49851,0.1,2,0.1994,0.41543,0.60652,52,2.50917,0.582,0.2908,0.78931,5,2D1U,2.0,True,0.112,3,False,right,0.08309,1.5188,2.2279,0.7091,0.0768,0.827,0.7502,A
53,0.49851,1.2,2,0.44035,0.38219,0.81424,53,2.9246,0.582,0.2908,0.78931,5,2D1U,1.0,False,0.216,3,False,left,-0.24926,1.7707,2.4873,0.7166,0.4959,0.8874,0.3915,A
54,0.49851,1.2,1,0.31572,0.39881,0.46528,54,1.88603,-0.582,-0.2908,0.20771,5,2U1D,1.0,False,1.2,5,False,left,0.08309,0.2533,0.6033,0.35,0.9618,1.6862,0.7244,A
55,0.49851,1.2,2,0.34065,0.2908,0.4902,55,1.67001,-0.9,-0.44866,0.04985,5,lapse_rate,1.0,True,0.775,0,False,left,-0.24926,1.3513,1.3264,-0.0249,0.4015,0.7933,0.3918,A
56,0.49851,0.1,2,0.23264,0.22433,0.88901,56,2.65042,0.618,0.30742,0.80593,5,2D1U,2.0,True,0.182,3,False,right,0.08309,1.8305,2.5552,0.7247,0.1051,0.8555,0.7504,A
57,0.49851,0.1,2,0.40712,0.24926,0.80593,57,2.15192,-0.618,-0.30742,0.1911,5,2U1D,1.0,True,0.325,5,False,left,-0.24926,1.7592,1.8665,0.1073,0.4503,0.8673,0.4169,A
58,0.49851,0.1,1,0.3905,0.28249,0.54005,58,1.7614,-0.9,-0.44866,0.04985,5,lapse_rate,2.0,True,0.147,0,False,right,0.08309,0.311,0.5276,0.2166,0.9438,1.6943,0.7504,A
59,0.49851,1.2,1,0.33234,0.29911,0.52344,59,2.45933,0.618,0.30742,0.80593,5,2D1U,1.0,True,0.809,3,False,left,-0.24926,0.2675,1.2174,0.9499,1.8011,2.1924,0.3913,A
60,0.49851,0.1,2,0.40712,0.2908,0.84747,60,2.99107,0.9,0.44866,0.94717,5,lapse_rate,2.0,True,0.113,0,False,right,0.08309,1.9674,2.8338,0.8664,0.2833,1.0343,0.751,A
61,0.49851,1.2,2,0.38219,0.42374,0.47359,61,1.96913,-0.618,-0.30742,0.1911,5,2U1D,1.0,True,0.141,5,False,left,-0.24926,1.3763,1.4931,0.1168,0.4426,0.8351,0.3924,A
62,0.49851,0.1,2,0.21602,0.44866,0.86409,62,2.07713,-0.9,-0.44866,0.04985,5,lapse_rate,1.0,True,1.103,0,False,left,0.08309,1.788,1.7547,-0.0333,0.088,0.838,0.7501,A
63,0.49851,0.1,2,0.22433,0.31572,0.76438,63,2.01065,-0.582,-0.2908,0.20771,5,2U1D,1.0,True,11.22,6,True,left,-0.24926,1.5307,1.6556,0.1249,0.2637,0.6805,0.4168,A
64,0.49851,0.1,1,0.28249,0.25756,0.57329,64,2.40116,0.582,0.2908,0.78931,5,2D1U,1.0,True,0.655,4,True,left,0.08309,0.1989,1.1573,0.9584,1.6072,2.3573,0.7501,A
65,0.49851,1.2,1,0.20771,0.42374,0.54005,65,1.87772,-0.582,-0.2908,0.20771,5,2U1D,1.0,False,1.033,6,True,left,-0.24926,0.1435,0.4937,0.3501,1.0934,1.4849,0.3915,A
66,0.49851,1.2,1,0.38219,0.35727,0.88901,66,3.07415,0.9,0.44866,0.94717,5,lapse_rate,2.0,False,0.656,0,False,right,0.08309,0.3114,1.4028,1.0914,2.1863,2.9113,0.725,A
