,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
0,0.5,0.85,1,0.41667,0.49167,0.88333,0,2.79167,0,0.0,0.5,5,1U1D,1.0,False,1.515,0,False,left,0.3,0.6057,1.5877,0.982,2.972,4.5219,1.5499,A
1,0.5,0.85,2,0.575,0.54167,0.89167,1,3.00834,0,0.0,0.5,5,1D1U,2.0,False,0.265,0,False,right,-0.3,3.0942,3.6774,0.5832,1.0113,1.395,0.3837,A
2,0.5,0.1,2,0.45833,0.41667,0.56667,2,2.44167,0,0.0,0.5,5,2U1D,1.0,False,0.998,0,False,left,0.3,2.8542,3.5537,0.6995,0.4029,1.854,1.4511,A
3,0.5,0.1,2,0.53333,0.59167,0.70833,3,2.83333,0,0.0,0.5,5,2D1U,2.0,False,0.118,0,False,right,-0.3,2.8855,3.8526,0.9671,1.1027,1.5023,0.3995,A
4,0.5,0.1,1,0.48333,0.45833,0.825,4,3.16666,0.8,0.4,0.9,5,lapse_rate,2.0,False,0.618,0,False,right,0.3,0.7265,2.31,1.5835,3.4433,4.76,1.3167,A
