,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue,VisualPSE
324,0.50129,1.2,2,0.37597,0.34255,0.63497,324,2.47304,0.24,0.11697,0.61826,5,2D1U,2.0,True,0.284,51,True,right,0.08355,1.5516,2.4348,0.8831,0.2013,1.0515,0.8501,A,0.27
325,0.50129,1.2,1,0.38432,0.39268,0.50129,325,2.39784,0.24,0.11697,0.61826,5,2D1U,2.0,False,0.716,51,True,right,-0.25065,0.2516,1.1347,0.8831,1.6264,2.1427,0.5163,A,0.27
326,0.50129,0.1,2,0.35926,0.30078,0.8522,326,2.65686,0.28,0.14203,0.64333,5,2D1U,2.0,True,0.333,51,False,right,0.08355,1.7611,2.6857,0.9246,0.1855,1.044,0.8585,A,0.275
327,0.50129,0.1,1,0.41774,0.31749,0.82713,327,2.55659,-0.02,-0.00835,0.49294,5,1D2U,1.0,False,0.35,52,False,left,-0.25065,0.2844,1.0514,0.767,1.8681,2.3929,0.5248,A,0.275
328,0.50129,1.2,1,0.36762,0.39268,0.86891,328,2.77383,0.28,0.14203,0.64333,5,2D1U,1.0,True,0.484,51,False,left,0.08355,0.2286,1.1369,0.9083,1.8285,2.6787,0.8502,A,0.27
329,0.50129,1.2,2,0.34255,0.43445,0.41774,329,2.31429,0.24,0.11697,0.61826,5,2D1U,2.0,True,0.316,52,True,right,-0.25065,1.1304,2.0143,0.8839,0.3306,0.8476,0.517,A,0.27
330,0.50129,0.1,1,0.26736,0.31749,0.49294,330,2.04695,-0.06,-0.03342,0.46787,5,1D2U,2.0,True,0.609,53,True,right,0.08355,0.1333,0.8754,0.7421,1.1906,2.0495,0.8589,A,0.275
331,0.50129,0.1,2,0.3342,0.35926,0.55142,331,2.21404,-0.06,-0.03342,0.46787,5,1D2U,1.0,True,0.292,53,True,left,-0.25065,1.2654,2.0067,0.7413,0.3234,0.8481,0.5247,A,0.275
332,0.50129,1.2,1,0.27571,0.34255,0.90233,332,2.51482,-0.02,-0.00835,0.49294,5,1D2U,2.0,True,0.325,54,True,right,0.08355,0.144,0.9025,0.7585,1.6282,2.4777,0.8495,A,0.27
333,0.50129,1.2,1,0.26736,0.30913,0.54307,333,2.23911,0.24,0.11697,0.61826,5,2D1U,1.0,True,0.341,52,True,left,-0.25065,0.1303,1.0136,0.8833,1.5469,2.0641,0.5172,A,0.27
334,0.50129,0.1,1,0.37597,0.38432,0.83549,334,2.59001,-0.02,-0.00835,0.49294,5,1D2U,1.0,False,0.333,54,True,left,0.08355,0.2406,1.0074,0.7668,1.6652,2.5244,0.8592,A,0.275
335,0.50129,0.1,2,0.259,0.40103,0.56813,335,2.19732,-0.06,-0.03342,0.46787,5,1D2U,1.0,True,0.3,55,True,left,-0.25065,1.2086,1.9504,0.7418,0.2501,0.7746,0.5245,A,0.275
336,0.50129,1.2,2,0.39268,0.259,0.65168,336,2.27252,-0.06,-0.03342,0.46787,5,1D2U,2.0,False,0.358,55,True,right,0.08355,1.5794,2.3123,0.7329,0.2131,1.063,0.8498,A,0.27
337,0.50129,1.2,1,0.34255,0.38432,0.53471,337,2.36442,0.2,0.10026,0.60155,5,2D1U,2.0,False,0.375,52,False,right,-0.25065,0.2112,1.0792,0.8679,1.6043,2.1206,0.5162,A,0.27
338,0.50129,0.1,2,0.28407,0.43445,0.8522,338,2.52317,-0.1,-0.05013,0.45116,5,1D2U,1.0,True,0.425,55,False,left,0.08355,1.6872,2.4114,0.7242,0.1111,0.97,0.8589,A,0.275
339,0.50129,0.1,2,0.20052,0.26736,0.49294,339,2.08037,0.24,0.11697,0.61826,5,2D1U,2.0,True,0.349,53,True,right,-0.25065,1.0779,1.9695,0.8916,0.1945,0.7199,0.5254,A,0.275
340,0.50129,1.2,2,0.23394,0.39268,0.71017,340,2.45634,0.24,0.11697,0.61826,5,2D1U,2.0,True,0.342,53,True,right,0.08355,1.4797,2.3631,0.8833,0.0545,0.9047,0.8503,A,0.27
341,0.50129,1.2,1,0.35091,0.39268,0.81878,341,2.51482,-0.1,-0.05013,0.45116,5,1D2U,2.0,True,0.434,55,False,right,-0.25065,0.2159,0.9326,0.7167,1.7403,2.2576,0.5174,A,0.27
342,0.50129,0.1,1,0.23394,0.38432,0.56813,342,2.28923,0.2,0.10026,0.60155,5,2D1U,1.0,True,0.292,54,True,left,0.08355,0.0991,0.9742,0.8751,1.3656,2.224,0.8584,A,0.275
343,0.50129,0.1,2,0.31749,0.23394,0.55142,343,2.07201,-0.06,-0.03342,0.46787,5,1D2U,2.0,False,0.4,56,True,right,-0.25065,1.2454,1.9871,0.7418,0.3035,0.8288,0.5253,A,0.275
344,0.50129,1.2,2,0.29242,0.21723,0.46787,344,1.92997,-0.1,-0.05013,0.45116,5,1D2U,1.0,True,0.275,57,True,left,0.08355,1.3033,2.0194,0.7162,0.1198,0.9699,0.85,A,0.27
345,0.50129,1.2,1,0.38432,0.41774,0.78536,345,2.53987,-0.1,-0.05013,0.45116,5,1D2U,2.0,True,0.316,57,True,right,-0.25065,0.251,0.9683,0.7172,1.7431,2.2601,0.517,A,0.27
346,0.50129,0.1,1,0.40103,0.29242,0.81878,346,2.48139,-0.06,-0.03342,0.46787,5,1D2U,2.0,True,0.3,58,True,right,0.08355,0.268,1.0096,0.7416,1.6516,2.5096,0.858,A,0.275
347,0.50129,0.1,1,0.38432,0.259,0.61826,347,2.23074,-0.06,-0.03342,0.46787,5,1D2U,2.0,True,0.308,58,True,right,-0.25065,0.2478,0.9903,0.7424,1.598,2.1233,0.5253,A,0.275
348,0.50129,1.2,2,0.40103,0.3342,0.73523,348,2.46469,-0.02,-0.00835,0.49294,5,1D2U,2.0,False,0.45,58,False,right,0.08355,1.6758,2.4341,0.7583,0.2253,1.0762,0.8509,A,0.27
349,0.50129,1.2,1,0.39268,0.41774,0.69346,349,2.47304,-0.06,-0.03342,0.46787,5,1D2U,2.0,True,0.258,59,True,right,-0.25065,0.2595,0.9924,0.7329,1.6766,2.1928,0.5162,A,0.27
350,0.50129,0.1,1,0.23394,0.20887,0.44281,350,1.85478,-0.06,-0.03342,0.46787,5,1D2U,2.0,True,1.075,59,True,right,0.08355,0.0963,0.839,0.7426,1.1052,1.9636,0.8585,A,0.275
351,0.50129,0.1,2,0.37597,0.3342,0.8522,351,2.5566,-0.02,-0.00835,0.49294,5,1D2U,1.0,True,0.284,60,True,left,-0.25065,1.605,2.3716,0.7665,0.363,0.888,0.525,A,0.275
