,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
534,0.50002,0.1,2,0.36668,0.34168,0.60836,534,2.28343,-0.064,-0.03333,0.46669,5,2U1D,1.0,True,0.294,62,False,left,0.08334,1.5135,1.8469,0.3334,0.4559,0.7722,0.3163,A
535,0.50002,0.1,1,0.23334,0.22501,0.6667,535,2.11676,-0.01,-0.00833,0.49169,5,2U1D,2.0,True,0.247,62,False,right,-0.25001,0.3697,0.5943,0.2246,1.5195,1.5025,-0.0169,A
536,0.50002,1.2,2,0.30835,0.40002,0.85837,536,2.69179,0.256,0.12501,0.62503,5,2D1U,2.0,True,0.225,69,True,right,0.08334,1.7747,2.3655,0.5908,0.232,0.8825,0.6505,A
537,0.50002,1.2,2,0.31668,0.22501,0.62503,537,2.15843,-0.01,-0.00833,0.49169,5,2U1D,2.0,False,0.113,62,False,right,-0.25001,1.3808,1.8396,0.4588,0.4065,0.7226,0.3161,A
538,0.50002,0.1,1,0.32501,0.35002,0.51669,538,2.15843,-0.064,-0.03333,0.46669,5,2U1D,1.0,False,0.255,63,True,left,0.08334,0.454,0.6546,0.2005,1.2628,1.5798,0.317,A
539,0.50002,0.1,2,0.32501,0.42502,0.60836,539,2.3001,-0.118,-0.05834,0.44169,5,2U1D,1.0,True,0.28,63,False,left,-0.25001,1.3099,1.618,0.3081,0.5851,0.5685,-0.0166,A
540,0.50002,1.2,2,0.29168,0.43335,0.49169,540,2.31677,0.202,0.1,0.60003,5,2D1U,2.0,True,0.801,70,True,right,0.08334,1.3881,1.9554,0.5673,0.2142,0.8641,0.6499,A
541,0.50002,1.2,2,0.43335,0.43335,0.49169,541,2.3001,-0.118,-0.05834,0.44169,5,2U1D,1.0,True,0.176,63,False,left,-0.25001,1.364,1.7726,0.4086,0.5219,0.8396,0.3177,A
542,0.50002,0.1,1,0.27501,0.31668,0.54169,542,2.23343,0.202,0.1,0.60003,5,2D1U,1.0,True,0.237,70,True,left,0.08334,0.4051,0.7375,0.3324,1.3714,1.6873,0.3159,A
543,0.50002,0.1,1,0.32501,0.34168,0.7667,543,2.50844,0.148,0.075,0.57503,5,2D1U,1.0,True,0.299,70,False,left,-0.25001,0.4562,0.7638,0.3076,1.7889,1.7719,-0.0171,A
544,0.50002,1.2,2,0.34168,0.41669,0.55002,544,2.2751,-0.064,-0.03333,0.46669,5,2U1D,2.0,False,1.034,64,True,right,0.08334,1.4962,1.9301,0.4339,0.2631,0.9132,0.6501,A
545,0.50002,1.2,1,0.43335,0.25834,0.7167,545,2.3501,-0.118,-0.05834,0.44169,5,2U1D,2.0,True,0.707,65,True,right,-0.25001,0.3968,0.9054,0.5086,1.7133,2.0303,0.3171,A
546,0.50002,0.1,2,0.39168,0.24168,0.7667,546,2.47511,0.148,0.075,0.57503,5,2D1U,2.0,True,1.349,70,False,right,0.08334,1.6955,2.1374,0.4419,0.4792,0.7956,0.3165,A
