,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
0,0.50025,0.1,2,0.41688,0.43355,0.58363,0,2.03436,-0.8,-0.4002,0.10005,5,lapse_rate,2.0,False,11.085,0,False,right,0.30015,1.1905,1.2352,0.0447,0.1498,0.6842,0.5344,A
1,0.50025,0.85,1,0.63365,0.45023,0.55028,1,2.93481,0.6,0.30015,0.8004,5,1D1U,2.0,False,0.651,0,False,right,-0.30015,0.3984,1.0637,0.6653,1.5646,1.7813,0.2167,A
2,0.50025,0.85,2,0.48358,0.55028,0.8671,2,2.50126,-0.8,-0.4002,0.10005,5,lapse_rate,2.0,False,0.517,0,False,right,0.30015,1.6442,1.7273,0.083,0.1612,0.8104,0.6492,A
3,0.50025,0.85,1,0.48358,0.43355,0.83375,3,3.11823,0.75,0.36685,0.8671,5,1D1U,2.0,False,0.181,0,False,right,-0.30015,0.2776,1.1156,0.838,1.8268,1.9607,0.1339,A
4,0.50025,0.1,2,0.41688,0.6003,0.83375,4,2.55128,-0.6,-0.30015,0.2001,5,1U1D,1.0,True,0.698,0,False,left,0.30015,1.462,1.6457,0.1836,0.13,0.7288,0.5988,A
5,0.50025,0.1,1,0.55028,0.6003,0.8004,5,2.65133,-0.6,-0.30015,0.2001,5,2U1D,2.0,True,0.148,0,False,right,-0.30015,0.3117,0.5285,0.2169,1.1954,1.4117,0.2163,A
6,0.50025,0.85,2,0.43355,0.58363,0.75038,6,3.06821,0.6,0.30015,0.8004,5,2D1U,2.0,True,1.053,0,False,right,0.30015,1.5592,2.3428,0.7835,0.1417,0.8593,0.7176,A
7,0.50025,0.85,2,0.5336,0.51693,0.56695,7,2.91813,0.6,0.30015,0.8004,5,2D1U,2.0,True,0.31,0,False,right,-0.30015,1.1237,1.7146,0.5909,0.4817,0.6483,0.1666,A
8,0.50025,0.1,1,0.58363,0.58363,0.6003,8,2.53461,-0.45,-0.21678,0.2668,5,1U1D,2.0,True,0.617,0,False,right,0.30015,0.3597,0.6432,0.2834,1.0933,1.7444,0.6512,A
9,0.50025,0.1,1,0.4669,0.56695,0.76705,9,2.50125,-0.6,-0.30015,0.2001,5,2U1D,2.0,True,0.119,0,False,right,-0.30015,0.2419,0.4252,0.1833,1.2829,1.4085,0.1255,A
10,0.50025,0.85,2,0.5336,0.6003,0.7337,10,3.31833,0.9,0.45023,0.95048,5,1D1U,2.0,True,0.119,0,False,right,0.30015,1.3508,2.2842,0.9334,0.2001,0.6677,0.4677,A
