,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
388,0.49781,1.2,2,0.30699,0.29039,0.60567,388,2.3978,0.402,0.19913,0.69694,5,2D1U,1.0,False,0.31,47,False,left,0.16594,1.6704,2.2788,0.6085,0.1371,0.9788,0.8417,A
389,0.49781,1.2,1,0.40655,0.36506,0.40655,389,2.11571,-0.118,-0.05808,0.43974,5,2U1D,1.0,False,0.249,51,True,left,-0.08297,0.3261,0.9426,0.6166,1.3094,1.9012,0.5918,A
390,0.49781,0.1,1,0.43974,0.22402,0.84628,390,2.72968,0.438,0.21572,0.72183,5,2D1U,1.0,True,0.283,47,False,left,0.16594,0.4223,1.181,0.7587,1.9311,2.631,0.6999,A
391,0.49781,0.1,2,0.43144,0.20742,0.67205,391,2.53055,0.438,0.21572,0.72183,5,2D1U,1.0,False,0.55,47,False,left,-0.08297,1.5961,2.3047,0.7086,0.4541,0.9043,0.4501,A
392,0.49781,1.2,2,0.19913,0.29039,0.51441,392,2.24016,0.474,0.24061,0.73842,5,2D1U,2.0,True,0.376,47,False,right,0.16594,1.4763,2.1264,0.6501,0.0344,0.8764,0.842,A
393,0.49781,1.2,2,0.28209,0.2655,0.64716,393,2.1157,-0.154,-0.07467,0.42314,5,2U1D,1.0,True,0.491,51,False,left,-0.08297,1.5643,1.8972,0.3329,0.239,0.8307,0.5916,A
394,0.49781,0.1,2,0.44803,0.37336,0.73842,394,2.79604,0.474,0.24061,0.73842,5,2D1U,2.0,True,0.333,47,False,right,0.16594,1.8052,2.5297,0.7245,0.3468,1.0469,0.7001,A
395,0.49781,0.1,2,0.24891,0.38995,0.44803,395,2.00784,-0.154,-0.07467,0.42314,5,2U1D,1.0,True,0.275,51,False,left,-0.08297,1.1884,1.5965,0.4081,0.272,0.7215,0.4495,A
396,0.49781,1.2,1,0.28209,0.43974,0.51441,396,2.17379,-0.118,-0.05808,0.43974,5,2U1D,1.0,False,0.341,52,True,left,0.16594,0.1975,0.8136,0.6161,1.1635,2.0054,0.8419,A
397,0.49781,1.2,2,0.21572,0.34017,0.48952,397,2.26505,0.438,0.21572,0.72183,5,2D1U,1.0,False,0.217,48,True,left,-0.08297,1.339,1.9724,0.6333,0.1725,0.7645,0.592,A
398,0.49781,0.1,1,0.41485,0.42314,0.66375,398,2.73797,0.474,0.24061,0.73842,5,2D1U,1.0,True,0.468,49,True,left,0.16594,0.401,1.1758,0.7748,1.7423,2.4424,0.7001,A
399,0.49781,0.1,2,0.28209,0.32358,0.5393,399,2.3812,0.474,0.24061,0.73842,5,2D1U,1.0,False,0.292,49,True,left,-0.08297,1.3153,2.0402,0.7248,0.3067,0.7568,0.4501,A
400,0.49781,1.2,1,0.41485,0.34017,0.62227,400,2.29824,-0.154,-0.07467,0.42314,5,2U1D,1.0,False,0.47,53,True,left,0.16594,0.329,0.9285,0.5995,1.3873,2.2289,0.8416,A
401,0.49781,1.2,1,0.39825,0.29869,0.531,401,2.48077,0.51,0.2572,0.75502,5,2D1U,1.0,True,0.258,49,False,left,-0.08297,0.3178,1.251,0.9332,1.7429,2.3346,0.5918,A
402,0.49781,0.1,2,0.38995,0.39825,0.59738,402,2.28994,-0.19,-0.09127,0.40655,5,2U1D,1.0,True,0.173,53,False,left,0.16594,1.6102,2.0019,0.3917,0.2939,0.9934,0.6995,A
403,0.49781,0.1,2,0.42314,0.38995,0.47292,403,2.53884,0.51,0.2572,0.75502,5,2D1U,2.0,True,0.35,49,False,right,-0.08297,1.3874,2.1291,0.7417,0.4458,0.8958,0.45,A
404,0.49781,1.2,1,0.43144,0.41485,0.48122,404,2.56374,0.474,0.24061,0.73842,5,2D1U,1.0,True,0.309,50,True,left,0.16594,0.3511,1.2676,0.9166,1.5844,2.4261,0.8418,A
405,0.49781,1.2,2,0.39825,0.24061,0.75502,405,2.29824,-0.19,-0.09127,0.40655,5,2U1D,1.0,True,0.392,53,False,left,-0.08297,1.7934,2.1101,0.3166,0.3603,0.9518,0.5916,A
406,0.49781,0.1,2,0.21572,0.2655,0.50611,406,2.22356,0.474,0.24061,0.73842,5,2D1U,2.0,True,0.325,50,True,right,0.16594,1.3439,2.0687,0.7248,0.1185,0.8185,0.7001,A
407,0.49781,0.1,1,0.43144,0.39825,0.63886,407,2.68819,0.438,0.21572,0.72183,5,2D1U,1.0,True,0.46,50,False,left,-0.08297,0.4167,1.175,0.7583,1.8416,2.2918,0.4502,A
