,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
0,0.49915,1.2,1,0.20798,0.34109,0.76537,0,1.98829,-0.65,-0.32445,0.1747,5,2U1D,2.0,True,2.722,0,False,right,0.24958,0.2903,0.2988,0.0085,1.0245,1.6068,0.5823,A
1,0.49915,1.2,1,0.44924,0.4326,0.44924,1,2.65384,0.65,0.32445,0.82361,5,2D1U,1.0,True,5.823,0,False,left,0.0,0.5345,1.1921,0.6576,1.7256,2.059,0.3334,A
2,0.49915,1.2,1,0.44924,0.391,0.84024,2,3.00324,0.65,0.32445,0.82361,5,2D1U,2.0,False,0.659,0,False,right,-0.16638,0.5349,1.1934,0.6585,2.2017,2.3683,0.1666,A
3,0.49915,0.1,1,0.34941,0.20798,0.44092,3,1.67216,-0.65,-0.32445,0.1747,5,2U1D,2.0,True,0.656,0,False,right,0.24958,0.4223,0.4392,0.0169,0.8309,1.4231,0.5922,A
4,0.49915,0.1,2,0.4326,0.32445,0.59067,4,1.99662,-0.7,-0.34941,0.14975,5,lapse_rate,1.0,True,0.793,0,False,left,0.0,1.5187,1.5861,0.0674,0.5102,0.8531,0.3429,A
5,0.49915,0.1,2,0.40764,0.31613,0.84856,5,2.945,0.75,0.37437,0.87352,5,2D1U,2.0,True,0.171,0,False,right,-0.16638,1.6645,2.456,0.7915,0.5644,0.7396,0.1752,A
6,0.49915,0.1,1,0.32445,0.24126,0.79033,6,2.07981,-0.55,-0.27454,0.22462,5,2U1D,2.0,True,0.185,0,False,right,0.24958,0.3981,0.4648,0.0667,1.2069,1.7985,0.5916,A
7,0.49915,0.1,2,0.29949,0.20798,0.85688,7,2.01325,-0.7,-0.34941,0.14975,5,lapse_rate,2.0,False,0.43,0,False,right,0.0,1.6515,1.7183,0.0668,0.3775,0.719,0.3415,A
8,0.49915,0.1,1,0.28285,0.27454,0.67386,8,2.57896,0.7,0.34941,0.84856,5,lapse_rate,1.0,True,1.012,0,False,left,-0.16638,0.3562,1.0478,0.6916,1.8822,2.0567,0.1744,A
9,0.49915,1.2,1,0.38269,0.30781,0.64058,9,2.05485,-0.55,-0.27454,0.22462,5,2U1D,2.0,True,0.336,0,False,right,0.24958,0.4665,0.5244,0.058,1.124,1.7081,0.5841,A
10,0.49915,1.2,1,0.40764,0.4326,0.44092,10,2.65383,0.75,0.37437,0.87352,5,2D1U,1.0,True,0.552,0,False,left,0.0,0.4922,1.2012,0.709,1.7256,2.059,0.3333,A
11,0.49915,0.1,2,0.4326,0.36605,0.40764,11,1.85519,-0.7,-0.34941,0.14975,5,lapse_rate,1.0,True,19.414,0,False,left,-0.16638,1.2466,1.3127,0.066,0.5882,0.7629,0.1747,A
12,0.49915,1.2,2,0.23294,0.34109,0.73209,12,2.65383,0.69,0.34109,0.84856,5,2D1U,2.0,True,0.526,1,True,right,0.24958,1.5926,2.3588,0.7662,0.192,0.7755,0.5835,A
13,0.49915,0.1,1,0.26622,0.24126,0.65722,13,1.93839,-0.45,-0.22462,0.27454,5,2U1D,2.0,True,0.174,0,False,right,0.0,0.3439,0.4605,0.1166,1.1932,1.5354,0.3422,A
14,0.49915,1.2,1,0.29117,0.22462,0.71546,14,1.88015,-0.7,-0.34941,0.14975,5,lapse_rate,2.0,True,2.357,0,False,right,-0.16638,0.3743,0.3576,-0.0167,1.2409,1.4069,0.1661,A
15,0.49915,0.1,1,0.35773,0.30781,0.80697,15,2.82022,0.69,0.34109,0.84856,5,2D1U,1.0,True,10.476,1,True,left,0.24958,0.4316,1.1227,0.6911,1.8811,2.4727,0.5916,A
16,0.49915,0.1,2,0.33277,0.35773,0.4326,16,1.89679,-0.45,-0.22462,0.27454,5,2U1D,1.0,True,2.672,0,False,left,0.0,1.2539,1.4455,0.1916,0.4042,0.7449,0.3407,A
17,0.49915,1.2,2,0.2163,0.33277,0.70714,17,2.07981,-0.35,-0.1747,0.32445,5,2U1D,2.0,False,0.902,0,False,right,-0.16638,1.3372,1.5793,0.2421,0.3782,0.5458,0.1676,A
18,0.49915,1.2,1,0.36605,0.26622,0.44092,18,2.38763,0.63,0.31613,0.81529,5,2D1U,2.0,False,0.157,1,False,right,0.24958,0.4526,1.1023,0.6496,1.5027,2.0852,0.5825,A
19,0.49915,1.2,1,0.34941,0.44092,0.46588,19,2.60392,0.7,0.34941,0.84856,5,lapse_rate,1.0,True,0.509,0,False,left,0.0,0.4346,1.1179,0.6833,1.668,2.0012,0.3332,A
20,0.49915,1.2,1,0.2579,0.24126,0.8652,20,2.01326,-0.7,-0.34941,0.14975,5,lapse_rate,2.0,True,0.949,0,False,right,-0.16638,0.3397,0.3231,-0.0166,1.3568,1.5231,0.1663,A
21,0.49915,1.2,2,0.29949,0.26622,0.89016,21,2.78694,0.666,0.33277,0.83192,5,2D1U,2.0,True,2.182,2,True,right,0.24958,1.8187,2.5684,0.7497,0.2601,0.8438,0.5838,A
22,0.49915,0.1,1,0.32445,0.40764,0.88184,22,2.40425,-0.41,-0.20798,0.29117,5,2U1D,2.0,True,0.819,1,True,right,0.0,0.3975,0.5308,0.1332,1.4893,1.8304,0.3412,A
23,0.49915,0.1,2,0.34941,0.39932,0.79033,23,2.32938,-0.41,-0.20798,0.29117,5,2U1D,2.0,False,1.005,1,True,right,-0.16638,1.5467,1.755,0.2083,0.5054,0.6806,0.1752,A
24,0.49915,0.1,2,0.19966,0.28285,0.48252,24,2.2961,0.666,0.33277,0.83192,5,2D1U,2.0,True,0.865,2,True,right,0.24958,1.2964,2.0455,0.7491,0.1461,0.7373,0.5912,A
25,0.49915,1.2,1,0.34109,0.28285,0.52411,25,1.79695,-0.7,-0.34941,0.14975,5,lapse_rate,2.0,True,1.011,0,False,right,0.0,0.4215,0.4055,-0.016,1.0128,1.3461,0.3333,A
26,0.49915,1.2,1,0.44092,0.41596,0.65722,26,2.86181,0.7,0.34941,0.84856,5,lapse_rate,2.0,False,1.784,0,False,right,-0.16638,0.5207,1.2042,0.6835,2.0288,2.1956,0.1668,A
27,0.49915,1.2,2,0.42428,0.28285,0.82361,27,2.84518,0.63,0.31613,0.81529,5,2D1U,2.0,True,0.197,3,True,right,0.24958,1.8729,2.6064,0.7334,0.3812,0.9646,0.5834,A
28,0.49915,1.2,1,0.29117,0.34941,0.55739,28,1.96334,-0.47,-0.23294,0.26622,5,2U1D,2.0,True,0.112,1,False,right,0.0,0.3734,0.4737,0.1004,1.1154,1.4486,0.3332,A
29,0.49915,0.1,2,0.40764,0.2579,0.54075,29,1.85519,-0.7,-0.34941,0.14975,5,lapse_rate,1.0,True,0.578,0,False,left,-0.16638,1.3568,1.4235,0.0668,0.5652,0.7401,0.175,A
30,0.49915,1.2,2,0.34109,0.41596,0.62394,30,2.69543,0.63,0.31613,0.81529,5,2D1U,2.0,True,0.469,3,True,right,0.24958,1.5911,2.3239,0.7328,0.2989,0.8827,0.5838,A
31,0.49915,0.1,2,0.26622,0.44092,0.81529,31,2.2878,-0.47,-0.23294,0.26622,5,2U1D,2.0,False,0.738,1,False,right,0.0,1.572,1.7547,0.1827,0.3381,0.6805,0.3423,A
32,0.49915,0.1,1,0.34941,0.36605,0.54907,32,2.61224,0.7,0.34941,0.84856,5,lapse_rate,2.0,False,0.589,0,False,right,-0.16638,0.4218,1.1135,0.6917,1.8217,1.9964,0.1747,A
33,0.49915,0.1,2,0.34941,0.2579,0.73209,33,2.07149,-0.53,-0.26622,0.23294,5,2U1D,2.0,False,0.873,1,False,right,0.24958,1.7022,1.8525,0.1503,0.302,0.8937,0.5917,A
34,0.49915,0.1,1,0.31613,0.23294,0.61562,34,2.46249,0.594,0.29949,0.79865,5,2D1U,2.0,False,0.666,3,False,right,0.0,0.3881,1.0298,0.6416,1.7216,2.0634,0.3418,A
35,0.49915,0.1,2,0.2579,0.391,0.82361,35,2.82022,0.7,0.34941,0.84856,5,lapse_rate,2.0,True,4.617,0,False,right,-0.16638,1.49,2.2563,0.7663,0.4151,0.59,0.1748,A
36,0.49915,1.2,2,0.34941,0.22462,0.51579,36,1.79695,-0.59,-0.29117,0.20798,5,2U1D,1.0,True,1.294,1,False,left,0.24958,1.495,1.6199,0.1249,0.3116,0.8951,0.5835,A
37,0.49915,1.2,2,0.38269,0.4326,0.67386,37,2.80359,0.63,0.31613,0.81529,5,2D1U,2.0,True,0.624,4,True,right,0.0,1.5606,2.2939,0.7333,0.4688,0.8017,0.333,A
