,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
26,26,0.50017,0.1,1,0.31678,0.27509,0.8753,26,2.33413,-0.26,-0.13338,0.36679,5,2D1U,2.0,True,0.292,0,False,right,0.0,0.3156,0.6819,0.3663,1.5573,2.0568,0.4995,A
27,27,0.50017,1.2,2,0.38347,0.3918,0.64189,27,2.36749,-0.1,-0.05002,0.45016,5,2D1U,2.0,False,0.341,0,False,right,0.0,1.5247,1.9744,0.4496,0.383,0.8833,0.5003,A
28,28,0.50017,0.1,2,0.23341,0.25009,0.50017,28,1.61722,-0.74,-0.36679,0.13338,5,1D3U,1.0,True,1.203,0,False,left,0.0,1.232,1.3653,0.1333,0.2317,0.7317,0.5001,A
29,29,0.50017,1.2,1,0.29177,0.21674,0.81695,29,2.27579,-0.1,-0.05002,0.45016,5,3D1U,2.0,True,0.295,0,False,right,0.0,0.2887,0.7395,0.4508,1.5561,2.0572,0.5011,A
30,30,0.50017,0.1,1,0.27509,0.3001,0.70858,30,1.95066,-0.66,-0.33345,0.16672,5,1D2U,2.0,True,0.598,1,True,right,0.0,0.2724,0.4393,0.1669,1.1477,1.6472,0.4995,V
31,31,0.50017,1.2,1,0.33345,0.29177,0.4835,31,1.65891,-0.9,-0.45016,0.05002,5,lapse_rate,2.0,True,0.635,0,False,right,0.0,0.3347,0.3847,0.05,0.8673,1.3681,0.5009,V
32,32,0.50017,1.2,2,0.26676,0.41681,0.60854,32,2.00069,-0.58,-0.29177,0.20841,5,1D3U,2.0,False,0.529,0,False,right,0.0,1.3761,1.5859,0.2098,0.2681,0.769,0.5009,A
33,33,0.50017,0.1,2,0.20841,0.40014,0.68357,33,1.95901,-0.66,-0.33345,0.16672,5,1D2U,1.0,True,0.376,1,True,left,0.0,1.3879,1.5541,0.1662,0.2045,0.704,0.4995,A
34,34,0.50017,1.2,2,0.42515,0.44182,0.47516,34,1.89232,-0.9,-0.45016,0.05002,5,lapse_rate,1.0,True,0.647,0,False,left,0.0,1.3985,1.4484,0.0499,0.4232,0.9235,0.5003,V
35,35,0.50017,1.2,1,0.32511,0.40847,0.41681,35,2.10072,-0.1,-0.05002,0.45016,5,2D1U,2.0,True,0.592,0,False,right,0.0,0.3266,0.7776,0.451,1.1936,1.6941,0.5005,A
36,36,0.50017,0.1,2,0.41681,0.22508,0.51685,36,2.19243,0.06,0.03334,0.53352,5,3D1U,2.0,True,0.367,0,False,right,0.0,1.4289,1.9624,0.5335,0.4124,0.9124,0.5,V
37,37,0.50017,1.2,1,0.24175,0.20007,0.55853,37,1.66724,-0.66,-0.33345,0.16672,5,1D3U,2.0,True,0.407,1,True,right,0.0,0.241,0.4084,0.1674,0.9663,1.4661,0.4998,V
38,38,0.50017,0.1,1,0.3918,0.41681,0.58353,38,2.42583,0.06,0.03334,0.53352,5,2D1U,2.0,False,0.295,0,False,right,0.0,0.3904,0.9245,0.534,1.5077,2.0078,0.5001,V
39,39,0.50017,1.2,1,0.29177,0.40847,0.71691,39,2.10905,-0.62,-0.30844,0.19173,5,1D2U,2.0,True,0.3,2,True,right,0.0,0.2894,0.4817,0.1923,1.1984,1.698,0.4997,V
40,40,0.50017,1.2,1,0.25842,0.35846,0.45016,40,2.51754,0.9,0.45016,0.95033,5,lapse_rate,2.0,False,0.272,0,False,right,0.0,0.256,1.2074,0.9514,1.6572,2.1561,0.499,A
41,41,0.50017,0.1,1,0.28343,0.40014,0.42515,41,2.14241,0.06,0.03334,0.53352,5,3D1U,2.0,False,0.237,0,False,right,0.0,0.2812,0.8153,0.5341,1.2406,1.7404,0.4998,A
42,42,0.50017,1.2,1,0.23341,0.31678,0.59187,42,1.80895,-0.66,-0.33345,0.16672,5,1D3U,2.0,True,0.64,1,True,right,0.0,0.2321,0.3993,0.1672,0.9915,1.4913,0.4999,A
43,43,0.50017,0.1,2,0.3918,0.34178,0.89197,43,2.31745,-0.62,-0.30844,0.19173,5,1D2U,1.0,True,0.369,2,True,left,0.0,1.7832,1.9746,0.1915,0.3916,0.8911,0.4995,V
44,44,0.50017,1.2,2,0.20007,0.25009,0.51685,44,2.07572,0.22,0.10837,0.60854,5,2D1U,2.0,True,0.342,0,False,right,0.0,1.22,1.8278,0.6077,0.2016,0.7024,0.5008,A
45,45,0.50017,0.1,2,0.42515,0.34178,0.60854,45,1.92566,-0.9,-0.45016,0.05002,5,lapse_rate,1.0,True,0.338,0,False,left,0.0,1.5361,1.586,0.0499,0.4267,0.9279,0.5012,V
46,46,0.50017,0.1,1,0.38347,0.23341,0.52518,46,2.25077,0.22,0.10837,0.60854,5,3D1U,2.0,False,0.382,0,False,right,0.0,0.3815,0.9899,0.6083,1.5152,2.0153,0.5001,V
47,47,0.50017,0.1,1,0.28343,0.29177,0.85029,47,2.87599,0.9,0.45016,0.95033,5,lapse_rate,2.0,False,0.267,0,False,right,0.0,0.2821,1.233,0.9509,2.0826,2.5828,0.5002,A
48,48,0.50017,1.2,2,0.24175,0.30844,0.60854,48,2.35081,0.38,0.19173,0.69191,5,3D1U,2.0,True,1.17,0,False,right,0.0,1.3473,2.0393,0.692,0.2389,0.7386,0.4997,A
49,49,0.50017,0.1,2,0.42515,0.35012,0.50017,49,1.98402,-0.58,-0.29177,0.20841,5,1D2U,1.0,True,0.297,2,False,left,0.0,1.4302,1.6368,0.2065,0.4281,0.9289,0.5008,V
50,50,0.50017,1.2,2,0.40014,0.25842,0.42515,50,1.7506,-0.66,-0.33345,0.16672,5,1D3U,2.0,False,0.567,1,True,right,0.0,1.3232,1.4892,0.166,0.3973,0.898,0.5007,A
51,51,0.50017,0.1,1,0.20007,0.20841,0.71691,51,2.2341,0.22,0.10837,0.60854,5,2D1U,2.0,False,0.515,0,False,right,0.0,0.2001,0.808,0.6079,1.5297,2.025,0.4953,A
52,52,0.50017,1.2,1,0.32511,0.36679,0.85029,52,2.73427,0.38,0.19173,0.69191,5,2D1U,2.0,False,0.374,0,False,right,0.0,0.3223,1.0139,0.6916,1.8631,2.364,0.5009,A
53,53,0.50017,0.1,2,0.38347,0.21674,0.88364,53,2.1174,-0.74,-0.36679,0.13338,5,1D3U,1.0,True,0.541,1,False,left,0.0,1.7691,1.9023,0.1331,0.3855,0.8855,0.4999,A
