,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
27,27,0.50034,1.2,2,0.40027,0.28353,0.80889,27,2.83527,0.69,0.3419,0.84224,5,3D1U,2.0,True,0.334,1,True,right,0.0,1.7171,2.5583,0.8413,0.4086,0.9088,0.5002,A
28,28,0.50034,1.2,2,0.29187,0.39194,0.80889,28,2.04307,-0.9,-0.45031,0.05003,5,lapse_rate,1.0,True,0.284,0,False,left,0.0,1.6039,1.6543,0.0504,0.2953,0.7956,0.5002,V
29,29,0.50034,0.1,2,0.42529,0.27519,0.46699,29,1.943,-0.45,-0.22515,0.27519,5,2U1D,1.0,True,0.283,0,False,left,0.0,1.3976,1.6726,0.2749,0.4309,0.9311,0.5002,V
30,30,0.50034,1.2,2,0.45031,0.29187,0.75051,30,2.26822,-0.45,-0.22515,0.27519,5,3U1D,1.0,True,0.46,0,False,left,0.0,1.7076,1.9826,0.275,0.4567,0.9576,0.5009,A
31,31,0.50034,0.1,1,0.30021,0.25851,0.45865,31,2.35162,0.67,0.33356,0.83391,5,2D1U,1.0,True,0.292,1,False,left,0.0,0.3078,1.1405,0.8327,1.5985,2.0992,0.5008,A
32,32,0.50034,1.2,1,0.27519,0.25017,0.64211,32,1.99303,-0.35,-0.17512,0.32522,5,2U1D,2.0,True,0.401,0,False,right,0.0,0.2806,0.6053,0.3247,1.2476,1.7477,0.5001,A
33,33,0.50034,0.1,1,0.21682,0.29187,0.61709,33,2.46836,0.69,0.3419,0.84224,5,3D1U,1.0,True,0.385,1,True,left,0.0,0.227,1.0689,0.8419,1.6856,2.1851,0.4995,A
34,34,0.50034,1.2,1,0.40861,0.40027,0.62543,34,1.98468,-0.9,-0.45031,0.05003,5,lapse_rate,2.0,True,0.26,0,False,right,0.0,0.4173,0.4675,0.0502,1.0917,1.5923,0.5006,V
35,35,0.50034,1.2,1,0.20848,0.33356,0.83391,35,2.15148,-0.45,-0.22515,0.27519,5,3U1D,2.0,True,0.408,0,False,right,0.0,0.2147,0.4896,0.2748,1.3229,1.8241,0.5012,A
36,36,0.50034,0.1,1,0.31688,0.3419,0.60875,36,2.5851,0.634,0.31688,0.81723,5,2D1U,1.0,True,0.251,2,True,left,0.0,0.322,1.138,0.8159,1.7463,2.2467,0.5004,V
37,37,0.50034,1.2,2,0.42529,0.20848,0.47533,37,2.45168,0.69,0.3419,0.84224,5,3D1U,2.0,True,0.324,1,True,right,0.0,1.4075,2.2492,0.8417,0.4322,0.9326,0.5004,A
38,38,0.50034,0.1,2,0.30854,0.27519,0.5337,38,1.94299,-0.35,-0.17512,0.32522,5,2U1D,1.0,True,0.243,0,False,left,0.0,1.347,1.6719,0.3248,0.3133,0.8136,0.5003,A
39,39,0.50034,0.1,2,0.3419,0.23349,0.43363,39,2.46001,0.9,0.45031,0.95065,5,lapse_rate,2.0,True,0.217,0,False,right,0.0,1.2818,2.2314,0.9496,0.3486,0.8486,0.5,V
40,40,0.50034,1.2,2,0.44197,0.40861,0.5337,40,2.70185,0.634,0.31688,0.81723,5,2D1U,2.0,True,0.259,2,True,right,0.0,1.4783,2.2949,0.8165,0.4452,0.9452,0.5001,V
41,41,0.50034,0.1,2,0.27519,0.3419,0.85058,41,2.2432,-0.45,-0.22515,0.27519,5,3U1D,1.0,True,0.26,0,False,left,0.0,1.6278,1.9036,0.2757,0.2784,0.7774,0.499,A
42,42,0.50034,1.2,1,0.23349,0.35024,0.82557,42,2.71019,0.598,0.30021,0.80055,5,2D1U,1.0,True,1.826,2,False,left,0.0,0.2407,1.0407,0.8,1.8658,2.366,0.5002,V
43,43,0.50034,0.1,2,0.33356,0.25017,0.84224,43,2.74354,0.63,0.31688,0.81723,5,3D1U,2.0,True,0.367,1,False,right,0.0,1.6787,2.4957,0.817,0.3372,0.8365,0.4993,V
44,44,0.50034,0.1,1,0.31688,0.25851,0.74218,44,1.86794,-0.9,-0.45031,0.05003,5,lapse_rate,2.0,True,0.283,0,False,right,0.0,0.3264,0.3765,0.0501,1.1183,1.6174,0.4991,V
45,45,0.50034,1.2,1,0.37526,0.42529,0.65878,45,2.33493,-0.25,-0.12509,0.37526,5,2U1D,2.0,True,2.142,0,False,right,0.0,0.3829,0.7581,0.3752,1.4162,1.9163,0.5001,V
46,46,0.50034,0.1,2,0.44197,0.35858,0.40861,46,2.03472,-0.35,-0.17512,0.32522,5,3U1D,1.0,True,0.301,0,False,left,0.0,1.3589,1.6832,0.3243,0.4493,0.95,0.5007,A
47,47,0.50034,1.2,2,0.33356,0.44197,0.51702,47,2.11811,-0.35,-0.17512,0.32522,5,3U1D,1.0,True,0.375,0,False,left,0.0,1.3539,1.6787,0.3248,0.3375,0.8377,0.5002,A
48,48,0.50034,0.1,1,0.41695,0.40027,0.89228,48,3.01039,0.598,0.30021,0.80055,5,2D1U,1.0,True,0.367,2,False,left,0.0,0.4236,1.2221,0.7986,2.1144,2.6144,0.5,A
49,49,0.50034,1.2,1,0.25017,0.39194,0.69214,49,2.20985,-0.25,-0.12509,0.37526,5,2U1D,1.0,False,0.65,0,False,left,0.0,0.2536,0.6286,0.375,1.3201,1.8207,0.5006,A
50,50,0.50034,1.2,2,0.20848,0.42529,0.71716,50,2.80192,0.9,0.45031,0.95065,5,lapse_rate,2.0,True,0.376,0,False,right,0.0,1.4286,2.378,0.9494,0.2116,0.7117,0.5001,V
51,51,0.50034,0.1,2,0.21682,0.30021,0.75885,51,2.59345,0.63,0.31688,0.81723,5,3D1U,2.0,True,0.325,1,False,right,0.0,1.4851,2.301,0.8159,0.2265,0.7269,0.5004,A
52,52,0.50034,0.1,1,0.35024,0.23349,0.41695,52,1.55105,-0.9,-0.45031,0.05003,5,lapse_rate,2.0,True,0.3,0,False,right,0.0,0.3557,0.4056,0.0499,0.8223,1.322,0.4997,A
53,53,0.50034,1.2,1,0.39194,0.35858,0.42529,53,2.00137,-0.35,-0.17512,0.32522,5,3U1D,2.0,True,0.543,0,False,right,0.0,0.3943,0.7193,0.325,1.1442,1.6444,0.5003,A
54,54,0.50034,0.1,1,0.41695,0.22515,0.67546,54,2.1598,-0.31,-0.15844,0.3419,5,2U1D,2.0,True,1.585,1,True,right,0.0,0.4249,0.7676,0.3427,1.4416,1.9424,0.5009,V
55,55,0.50034,1.2,1,0.36692,0.24183,0.61709,55,2.51005,0.562,0.28353,0.78387,5,2D1U,2.0,False,2.092,2,False,right,0.0,0.3734,1.157,0.7837,1.7728,2.2737,0.5009,A
56,56,0.50034,0.1,1,0.21682,0.37526,0.86726,56,2.77691,0.63,0.31688,0.81723,5,3D1U,1.0,True,0.284,1,False,left,0.0,0.2251,1.0424,0.8173,1.9088,2.4084,0.4997,V
57,57,0.50034,1.2,2,0.37526,0.28353,0.50034,57,2.00137,-0.31,-0.15844,0.3419,5,2U1D,1.0,True,0.609,1,True,left,0.0,1.3805,1.7221,0.3415,0.381,0.8809,0.4999,V
58,58,0.50034,0.1,2,0.30021,0.21682,0.69214,58,2.51006,0.598,0.30021,0.80055,5,2D1U,2.0,True,0.276,3,True,right,0.0,1.4971,2.2971,0.8,0.305,0.8053,0.5003,A
59,59,0.50034,1.2,1,0.36692,0.35858,0.69214,59,2.70185,0.57,0.28353,0.78387,5,3D1U,1.0,True,0.41,1,False,left,0.0,0.3715,1.1551,0.7836,1.8465,2.3461,0.4996,V
60,60,0.50034,1.2,2,0.30854,0.35858,0.80055,60,2.01804,-0.9,-0.45031,0.05003,5,lapse_rate,1.0,True,0.384,0,False,left,0.0,1.6157,1.665,0.0493,0.3156,0.815,0.4994,V
61,61,0.50034,0.1,1,0.25851,0.20848,0.88394,61,2.22653,-0.25,-0.12509,0.37526,5,3U1D,2.0,True,0.301,0,False,right,0.0,0.2657,0.6403,0.3746,1.524,2.024,0.5,V
