,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
26,26,0.50397,0.1,2,0.27264,0.41309,0.66921,26,2.23069,-0.26,-0.13219,0.37178,5,3D1U,1.0,True,0.4,0,False,left,0.0,1.4596,1.835,0.3754,0.2765,0.7852,0.5087,V
27,27,0.50397,1.2,1,0.38831,0.31395,0.7353,27,1.9911,-0.9,-0.44614,0.04957,5,1D3U,2.0,True,1.176,0,False,right,0.0,0.3919,0.4422,0.0503,1.1829,1.6914,0.5086,V
28,28,0.50397,0.1,2,0.43788,0.26438,0.7353,28,1.9911,-0.9,-0.44614,0.04957,5,1D2U,1.0,True,0.301,1,False,left,0.0,1.6892,1.739,0.0497,0.4383,0.947,0.5088,A
29,29,0.50397,1.2,1,0.39657,0.25612,0.57006,29,2.17286,-0.1,-0.04957,0.44614,5,2D1U,1.0,False,0.258,0,False,left,0.0,0.3986,0.8488,0.4502,1.4241,1.932,0.5079,V
30,30,0.50397,0.1,1,0.19828,0.44614,0.41309,30,2.00762,-0.1,-0.04957,0.44614,5,3D1U,2.0,True,0.352,0,False,right,0.0,0.1981,0.6494,0.4513,1.0662,1.5737,0.5075,V
31,31,0.50397,1.2,2,0.37178,0.38831,0.57006,31,1.88369,-0.9,-0.44614,0.04957,5,lapse_rate,1.0,True,0.252,0,False,left,0.0,1.4542,1.5044,0.0503,0.3713,0.8794,0.5082,V
32,32,0.50397,1.2,1,0.39657,0.37178,0.70225,32,2.92468,0.9,0.44614,0.95011,5,lapse_rate,1.0,True,0.201,0,False,left,0.0,0.4005,1.3583,0.9578,2.0672,2.5753,0.5082,A
33,33,0.50397,1.2,1,0.2809,0.23959,0.41309,33,1.96631,0.06,0.03305,0.52876,5,3D1U,2.0,False,1.15,0,False,right,0.0,0.2852,0.8184,0.5331,1.2353,1.7433,0.508,V
34,34,0.50397,0.1,1,0.2809,0.40483,0.57006,34,2.2059,-0.1,-0.04957,0.44614,5,2D1U,2.0,True,0.992,0,False,right,0.0,0.279,0.7291,0.45,1.3038,1.812,0.5082,A
35,35,0.50397,1.2,2,0.2809,0.32221,0.48745,35,1.68541,-0.82,-0.41309,0.09088,5,1D3U,1.0,True,0.447,1,True,left,0.0,1.2777,1.3695,0.0918,0.278,0.7861,0.5082,V
