,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
26,26,0.49813,0.1,1,0.20755,0.30718,0.73058,26,1.79325,-0.9,-0.44831,0.04981,5,1D3U,2.0,True,0.47,0,False,right,0.0,0.2068,0.2569,0.0501,0.9901,1.4902,0.5002,V
27,27,0.49813,1.2,1,0.25737,0.33208,0.44001,27,1.5774,-0.9,-0.44831,0.04981,5,1D3U,1.0,False,0.814,0,False,left,0.0,0.2535,0.3038,0.0503,0.7454,1.2456,0.5003,V
28,28,0.49813,0.1,1,0.3902,0.29888,0.83851,28,2.39931,-0.26,-0.13283,0.37359,5,3D1U,1.0,False,0.289,0,False,left,0.0,0.3876,0.7626,0.375,1.6043,2.1044,0.5001,V
29,29,0.49813,1.2,2,0.3985,0.44001,0.4068,29,2.11703,-0.26,-0.13283,0.37359,5,2D1U,2.0,False,2.26,0,False,right,0.0,1.309,1.6848,0.3757,0.4011,0.901,0.4999,A
30,30,0.49813,1.2,2,0.30718,0.24076,0.51473,30,2.50724,0.9,0.44831,0.94644,5,lapse_rate,2.0,True,2.422,0,False,right,0.0,1.3233,2.274,0.9507,0.3064,0.8063,0.4999,V
31,31,0.49813,0.1,2,0.29888,0.4151,0.81361,31,2.31629,-0.42,-0.20755,0.29057,5,1D2U,1.0,True,0.305,0,False,left,0.0,1.6169,1.9082,0.2912,0.2998,0.7994,0.4996,V
32,32,0.49813,1.2,2,0.42341,0.29057,0.46492,32,1.72684,-0.9,-0.44831,0.04981,5,1D3U,1.0,True,2.859,0,False,left,0.0,1.3948,1.445,0.0502,0.4282,0.9285,0.5002,V
33,33,0.49813,0.1,2,0.35699,0.42341,0.48982,33,2.14194,-0.26,-0.13283,0.37359,5,3D1U,1.0,True,0.467,0,False,left,0.0,1.3495,1.7238,0.3743,0.3575,0.8578,0.5004,A
34,34,0.49813,1.2,2,0.21585,0.27397,0.7804,34,1.81816,-0.9,-0.44831,0.04981,5,lapse_rate,2.0,False,1.724,0,False,right,0.0,1.4978,1.5482,0.0504,0.2145,0.7142,0.4996,A
35,35,0.49813,1.2,2,0.44831,0.36529,0.88832,35,2.53213,-0.34,-0.16604,0.33208,5,2D1U,2.0,False,1.893,1,True,right,0.0,1.8386,2.1719,0.3333,0.447,0.947,0.5,V
36,36,0.49813,0.1,2,0.28227,0.37359,0.44831,36,1.89287,-0.42,-0.20755,0.29057,5,1D2U,1.0,True,0.412,0,False,left,0.0,1.2356,1.5279,0.2922,0.2864,0.7862,0.4998,V
