,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
128,128,0.5,0.1,1,0.4,0.4333,0.8833,128,2.4833,-0.46,-0.2333,0.2667,5,1D3U,1.0,False,0.292,6,True,left
129,129,0.5,0.1,2,0.45,0.4167,0.7833,129,2.5333,-0.22,-0.1167,0.3833,5,1D2U,1.0,True,0.4,6,True,left
130,130,0.5,0.1,2,0.3,0.4167,0.4833,130,2.2333,0.06,0.0333,0.5333,5,3D1U,1.0,False,0.425,4,False,left
131,131,0.5,0.1,1,0.4167,0.2833,0.9,131,2.65,0.1,0.05,0.55,5,3D1U,1.0,True,0.384,4,False,left
132,132,0.5,0.1,1,0.25,0.35,0.8,132,2.2833,-0.22,-0.1167,0.3833,5,1D2U,2.0,True,0.434,6,True,right
133,133,0.5,0.1,2,0.2,0.2833,0.85,133,2.4166,0.18,0.0833,0.5833,5,2D1U,2.0,True,0.566,7,True,right
134,134,0.5,0.1,2,0.2667,0.3833,0.4833,134,2.1833,0.1,0.05,0.55,5,3D1U,2.0,True,0.583,4,False,right
135,135,0.5,0.1,1,0.3,0.2167,0.6333,135,1.9,-0.5,-0.25,0.25,5,1D3U,1.0,False,0.467,7,True,left
136,136,0.5,0.1,1,0.3,0.3833,0.7833,136,2.1999,-0.54,-0.2667,0.2333,5,1D3U,2.0,True,0.576,7,False,right
137,137,0.5,0.1,1,0.3,0.2667,0.8833,137,2.5333,0.18,0.0833,0.5833,5,2D1U,1.0,True,0.375,7,True,left
138,138,0.5,0.1,1,0.4333,0.4167,0.5167,138,2.4167,0.1,0.05,0.55,5,3D1U,2.0,False,0.458,4,False,right
139,139,0.5,0.1,2,0.3833,0.4167,0.5,139,2.2167,-0.18,-0.0833,0.4167,5,1D2U,1.0,True,0.526,6,False,left
140,140,0.5,0.1,1,0.4167,0.3833,0.5833,140,2.1166,-0.54,-0.2667,0.2333,5,1D3U,1.0,False,0.425,7,False,left
141,141,0.5,0.1,2,0.2667,0.3,0.7667,141,2.0501,-0.58,-0.2833,0.2167,5,1D3U,1.0,True,0.499,7,False,left
142,142,0.5,0.1,1,0.3,0.35,0.5333,142,2.25,0.14,0.0667,0.5667,5,3D1U,1.0,True,0.408,4,False,left
143,143,0.5,0.1,1,0.3,0.25,0.8,143,2.0667,-0.58,-0.2833,0.2167,5,1D3U,2.0,True,0.508,7,False,right
144,144,0.5,0.1,2,0.3333,0.4333,0.8667,144,2.55,-0.18,-0.0833,0.4167,5,1D2U,1.0,True,0.374,6,False,left
145,145,0.5,0.1,2,0.4333,0.3167,0.5667,145,2.3834,0.14,0.0667,0.5667,5,2D1U,1.0,False,0.333,7,False,left
146,146,0.5,0.1,2,0.2833,0.2833,0.5833,146,2.2332,0.18,0.0833,0.5833,5,2D1U,1.0,False,0.409,8,True,left
147,147,0.5,0.1,2,0.45,0.4333,0.5667,147,2.5667,0.22,0.1167,0.6167,5,2D1U,1.0,False,0.274,8,False,left
148,148,0.5,0.1,2,0.4333,0.2833,0.5,148,2.2833,0.14,0.0667,0.5667,5,3D1U,1.0,False,0.316,4,False,left
149,149,0.5,0.1,1,0.2,0.2,0.5167,149,1.6334,-0.58,-0.2833,0.2167,5,1D3U,1.0,False,0.391,7,False,left
150,150,0.5,0.1,1,0.3167,0.4167,0.6167,150,2.0334,-0.62,-0.3167,0.1833,5,1D3U,2.0,True,0.315,7,False,right
151,151,0.5,0.1,2,0.35,0.3167,0.5,151,2.3,0.26,0.1333,0.6333,5,2D1U,2.0,True,0.233,8,False,right
152,152,0.5,0.1,2,0.2167,0.4,0.6667,152,1.9667,-0.62,-0.3167,0.1833,5,1D3U,2.0,False,0.533,7,False,right
153,153,0.5,0.1,2,0.35,0.2167,0.9,153,2.55,0.18,0.0833,0.5833,5,3D1U,2.0,True,0.425,4,False,right
