Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,participantID
0,0.5,0.1,2,0.3833,0.2667,0.7333,0,1.9333,-0.9,-0.45,0.05,5,2D1U,1.0,True,0.676,0,False,left,as
1,0.5,0.1,2,0.2167,0.2833,0.6833,1,1.7333,-0.9,-0.45,0.05,5,3D1U,1.0,True,0.8,0,False,left,as
2,0.5,0.1,2,0.3333,0.4333,0.5667,2,1.9666,-0.74,-0.3667,0.1333,5,2D1U,2.0,False,0.875,0,False,right,as
3,0.5,0.1,1,0.25,0.3833,0.6833,3,2.7166,0.8,0.4,0.9,5,lapse_rate,1.0,True,1.067,0,False,left,as
4,0.5,0.1,2,0.4333,0.2333,0.4667,4,1.7666,-0.74,-0.3667,0.1333,5,3D1U,1.0,True,1.375,0,False,left,as
5,0.5,0.1,1,0.3333,0.2167,0.85,5,1.95,-0.9,-0.45,0.05,5,1D3U,1.0,False,1.016,0,False,left,as
6,0.5,0.1,1,0.2333,0.2167,0.9,6,1.9,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.434,0,False,right,as
7,0.5,0.1,2,0.3833,0.25,0.5833,7,1.7666,-0.9,-0.45,0.05,5,1D2U,1.0,True,0.883,0,False,left,as
8,0.5,0.1,1,0.4333,0.35,0.6333,8,2.8166,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.417,0,False,left,as
9,0.5,0.1,1,0.2667,0.3667,0.8167,9,2.0001,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.425,0,False,right,as
10,0.5,0.1,1,0.3,0.25,0.4167,10,1.6834,-0.58,-0.2833,0.2167,5,3D1U,1.0,False,0.741,0,False,left,as
11,0.5,0.1,2,0.2,0.3333,0.4333,11,1.5999,-0.74,-0.3667,0.1333,5,2D1U,1.0,True,0.6,0,False,left,as
12,0.5,0.1,2,0.3167,0.2,0.6,12,1.75,-0.74,-0.3667,0.1333,5,1D2U,1.0,True,0.717,0,False,left,as
13,0.5,0.1,1,0.45,0.3167,0.65,13,2.0167,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.458,0,False,right,as
14,0.5,0.1,1,0.4167,0.45,0.8167,14,2.4001,-0.58,-0.2833,0.2167,5,3D1U,2.0,True,0.65,0,False,right,as
15,0.5,0.1,2,0.4,0.2,0.8333,15,2.15,-0.58,-0.2833,0.2167,5,2D1U,1.0,True,0.691,0,False,left,as
16,0.5,0.1,2,0.4167,0.3833,0.7333,16,2.0833,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.624,0,False,left,as
17,0.5,0.1,2,0.3833,0.45,0.9,17,3.1333,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.467,0,False,right,as
18,0.5,0.1,1,0.25,0.2,0.65,18,1.65,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.499,0,False,right,as
19,0.5,0.1,2,0.3833,0.4167,0.6833,19,2.1166,-0.74,-0.3667,0.1333,5,1D2U,1.0,True,0.407,0,False,left,as
20,0.5,0.1,1,0.3333,0.2667,0.6167,20,2.0,-0.42,-0.2167,0.2833,5,3D1U,2.0,True,0.458,0,False,right,as
21,0.5,0.1,2,0.3167,0.4167,0.7,21,2.2167,-0.42,-0.2167,0.2833,5,2D1U,2.0,False,0.708,0,False,right,as
22,0.5,0.1,1,0.3667,0.4,0.7333,22,2.3667,-0.26,-0.1333,0.3667,5,3D1U,2.0,True,0.716,0,False,right,as
23,0.5,0.1,1,0.3,0.3167,0.7667,23,1.9667,-0.82,-0.4167,0.0833,5,1D3U,2.0,True,0.618,1,True,right,as
24,0.5,0.1,2,0.2667,0.45,0.7333,24,2.05,-0.8,-0.4,0.1,5,lapse_rate,2.0,False,0.65,0,False,right,as
25,0.5,0.1,1,0.2667,0.2333,0.7333,25,1.95,-0.58,-0.2833,0.2167,5,1D2U,2.0,True,1.708,0,False,right,as
26,0.5,0.1,1,0.3167,0.3,0.6833,26,2.0833,-0.42,-0.2167,0.2833,5,2D1U,2.0,True,1.691,0,False,right,as
27,0.5,0.1,1,0.4167,0.4167,0.7667,27,2.1834,-0.82,-0.4167,0.0833,5,1D3U,2.0,True,0.492,1,True,right,as
28,0.5,0.1,1,0.3167,0.2333,0.5,28,2.0,-0.1,-0.05,0.45,5,3D1U,1.0,False,1.083,0,False,left,as
29,0.5,0.1,1,0.3333,0.45,0.4167,29,1.9167,-0.58,-0.2833,0.2167,5,1D2U,2.0,True,1.159,0,False,right,as
30,0.5,0.1,2,0.4333,0.2333,0.7,30,1.9666,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.508,0,False,left,as
31,0.5,0.1,2,0.35,0.2833,0.8667,31,2.3667,-0.26,-0.1333,0.3667,5,2D1U,2.0,False,0.367,0,False,right,as
32,0.5,0.1,2,0.3167,0.4333,0.5167,32,1.8667,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.391,0,False,left,as
33,0.5,0.1,1,0.25,0.2667,0.6667,33,2.0501,-0.26,-0.1333,0.3667,5,2D1U,2.0,True,1.608,0,False,right,as
34,0.5,0.1,1,0.2667,0.2833,0.85,34,2.1833,-0.42,-0.2167,0.2833,5,1D2U,1.0,False,1.509,0,False,left,as
35,0.5,0.1,2,0.2167,0.4,0.8833,35,2.45,-0.1,-0.05,0.45,5,3D1U,2.0,False,2.425,0,False,right,as
36,0.5,0.1,2,0.4333,0.2333,0.55,36,1.7999,-0.82,-0.4167,0.0833,5,1D3U,1.0,True,0.626,1,True,left,as
37,0.5,0.1,2,0.3667,0.45,0.6667,37,2.4334,-0.1,-0.05,0.45,5,2D1U,1.0,True,0.492,0,False,left,as
38,0.5,0.1,2,0.3833,0.2333,0.55,38,1.9166,-0.5,-0.25,0.25,5,1D2U,1.0,True,0.708,1,True,left,as
39,0.5,0.1,1,0.3667,0.35,0.55,39,1.8667,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.467,0,False,right,as
40,0.5,0.1,2,0.3,0.3167,0.7,40,2.2667,-0.1,-0.05,0.45,5,3D1U,1.0,True,0.858,0,False,left,as
41,0.5,0.1,2,0.2667,0.2167,0.4333,41,1.55,-0.74,-0.3667,0.1333,5,1D3U,1.0,True,0.758,1,False,left,as
42,0.5,0.1,2,0.3,0.3667,0.8333,42,2.25,-0.5,-0.25,0.25,5,1D2U,1.0,True,2.083,1,True,left,as
43,0.5,0.1,2,0.3667,0.25,0.4167,43,1.6667,-0.74,-0.3667,0.1333,5,1D3U,1.0,True,0.625,1,False,left,as
44,0.5,0.1,2,0.45,0.2667,0.6167,44,2.3667,0.06,0.0333,0.5333,5,2D1U,2.0,True,0.783,0,False,right,as
45,0.5,0.1,1,0.25,0.4,0.7,45,2.3833,0.06,0.0333,0.5333,5,3D1U,2.0,False,0.7,0,False,right,as
46,0.5,0.1,2,0.3167,0.3667,0.5167,46,2.6001,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.483,0,False,right,as
47,0.5,0.1,1,0.4,0.2833,0.45,47,2.1666,0.06,0.0333,0.5333,5,2D1U,1.0,True,0.525,0,False,left,as
48,0.5,0.1,2,0.2333,0.4333,0.8667,48,2.65,0.22,0.1167,0.6167,5,3D1U,2.0,True,0.783,0,False,right,as
49,0.5,0.1,2,0.3167,0.3667,0.5,49,2.5834,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.45,0,False,right,as
50,0.5,0.1,2,0.2167,0.2667,0.45,50,1.5667,-0.74,-0.3667,0.1333,5,1D3U,1.0,True,0.616,1,False,left,as
51,0.5,0.1,1,0.3667,0.2833,0.85,51,2.2667,-0.46,-0.2333,0.2667,5,1D2U,2.0,True,0.607,2,True,right,as
52,0.5,0.1,1,0.2333,0.2167,0.8667,52,1.9167,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.449,0,False,right,as
53,0.5,0.1,2,0.4333,0.2333,0.6667,53,2.3166,-0.02,-0.0167,0.4833,5,2D1U,2.0,False,0.559,1,True,right,as
54,0.5,0.1,2,0.35,0.3,0.5,54,1.9167,-0.46,-0.2333,0.2667,5,1D2U,2.0,False,0.792,2,True,right,as
55,0.5,0.1,2,0.25,0.3667,0.65,55,2.3834,0.22,0.1167,0.6167,5,3D1U,2.0,True,0.617,0,False,right,as
56,0.5,0.1,2,0.3333,0.25,0.65,56,1.9,-0.66,-0.3333,0.1667,5,1D3U,1.0,True,0.574,1,False,left,as
57,0.5,0.1,2,0.4167,0.35,0.4,57,1.8334,-0.66,-0.3333,0.1667,5,1D3U,1.0,True,0.467,1,False,left,as
58,0.5,0.1,1,0.3833,0.2833,0.8667,58,2.65,0.22,0.1167,0.6167,5,3D1U,1.0,True,0.85,0,False,left,as
59,0.5,0.1,1,0.2333,0.3833,0.7333,59,2.0999,-0.5,-0.25,0.25,5,1D2U,2.0,True,0.392,3,True,right,as
60,0.5,0.1,2,0.2833,0.3,0.5167,60,2.0833,-0.02,-0.0167,0.4833,5,2D1U,2.0,False,0.659,1,True,right,as
61,0.5,0.1,2,0.2167,0.35,0.9,61,2.8667,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.534,0,False,right,as
62,0.5,0.1,2,0.4167,0.25,0.8167,62,2.4334,-0.1,-0.05,0.45,5,2D1U,2.0,False,0.916,1,False,right,as
63,0.5,0.1,2,0.4167,0.4,0.6833,63,2.25,-0.5,-0.25,0.25,5,1D2U,1.0,True,0.392,3,True,left,as
64,0.5,0.1,1,0.3667,0.3167,0.9,64,2.9834,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.792,0,False,left,as
65,0.5,0.1,1,0.4,0.3667,0.5833,65,2.4167,0.14,0.0667,0.5667,5,3D1U,1.0,True,0.525,1,True,left,as
66,0.5,0.1,1,0.2333,0.2,0.6667,66,1.7667,-0.66,-0.3333,0.1667,5,1D3U,2.0,True,0.367,1,False,right,as
