,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
42,42,0.5,0.1,1,0.35,0.35,0.5833,42,2.0,-0.58,-0.2833,0.2167,5,1D3U,1.0,False,0.417,0,False,left
43,43,0.5,0.1,1,0.4333,0.2333,0.9,43,2.6833,0.22,0.1167,0.6167,5,3D1U,1.0,True,0.583,0,False,left
44,44,0.5,0.1,1,0.3333,0.2,0.55,44,1.85,-0.46,-0.2333,0.2667,5,1D2U,1.0,False,1.141,2,True,left
45,45,0.5,0.1,1,0.4333,0.3,0.6667,45,2.3333,-0.14,-0.0667,0.4333,5,2D1U,2.0,True,0.5,2,True,right
46,46,0.5,0.1,1,0.3,0.2167,0.85,46,2.7667,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.483,0,False,left
47,47,0.5,0.1,1,0.3167,0.45,0.7333,47,2.25,-0.5,-0.25,0.25,5,1D2U,2.0,True,0.258,3,True,right
48,48,0.5,0.1,1,0.3833,0.4167,0.8,48,2.2,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.574,0,False,right
49,49,0.5,0.1,2,0.25,0.4167,0.6167,49,2.4001,0.22,0.1167,0.6167,5,3D1U,2.0,True,0.723,0,False,right
50,50,0.5,0.1,2,0.2333,0.25,0.45,50,1.8833,-0.1,-0.05,0.45,5,2D1U,1.0,True,0.749,2,False,left
51,51,0.5,0.1,2,0.4,0.4,0.7833,51,2.25,-0.66,-0.3333,0.1667,5,1D3U,1.0,True,0.516,1,True,left
52,52,0.5,0.1,2,0.3833,0.25,0.7667,52,2.0,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.666,0,False,left
53,53,0.5,0.1,2,0.2167,0.3333,0.7333,53,2.4,0.22,0.1167,0.6167,5,3D1U,1.0,False,0.434,0,False,left
