,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
63,63,0.5,0.1,1,0.3667,0.35,0.7333,63,2.2667,-0.38,-0.1833,0.3167,5,1D2U,2.0,True,0.457,2,True,right
64,64,0.5,0.1,1,0.2167,0.3333,0.8167,64,2.7667,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.625,0,False,left
65,65,0.5,0.1,2,0.4167,0.4333,0.8167,65,2.5334,-0.26,-0.1333,0.3667,5,1D3U,1.0,True,0.443,0,False,left
66,66,0.5,0.1,1,0.3167,0.4,0.6167,66,2.2834,-0.1,-0.05,0.45,5,2D1U,1.0,False,0.407,4,False,left
67,67,0.5,0.1,1,0.25,0.25,0.5667,67,1.8834,-0.38,-0.1833,0.3167,5,1D2U,2.0,True,0.617,2,True,right
68,68,0.5,0.1,1,0.2667,0.3833,0.5667,68,2.5667,0.7,0.35,0.85,5,3D1U,1.0,True,0.383,0,False,left
69,69,0.5,0.1,2,0.25,0.25,0.8833,69,2.25,-0.26,-0.1333,0.3667,5,1D3U,1.0,True,0.557,0,False,left
70,70,0.5,0.1,2,0.3833,0.3333,0.65,70,2.3166,-0.1,-0.05,0.45,5,2D1U,1.0,True,0.526,4,False,left
71,71,0.5,0.1,1,0.45,0.4,0.8667,71,2.3167,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.275,0,False,right
72,72,0.5,0.1,1,0.25,0.25,0.5,72,1.8333,-0.34,-0.1667,0.3333,5,1D2U,2.0,True,0.625,2,False,right
73,73,0.5,0.1,1,0.4333,0.3167,0.4833,73,2.2,-0.06,-0.0333,0.4667,5,2D1U,1.0,False,0.624,4,False,left
74,74,0.5,0.1,1,0.2167,0.2833,0.6667,74,2.5167,0.7,0.35,0.85,5,3D1U,2.0,False,2.499,0,False,right
75,75,0.5,0.1,2,0.3167,0.3167,0.6667,75,2.1668,-0.26,-0.1333,0.3667,5,1D3U,1.0,True,0.493,0,False,left
76,76,0.5,0.1,2,0.45,0.4,0.5833,76,2.4,-0.06,-0.0333,0.4667,5,2D1U,1.0,True,0.892,4,False,left
77,77,0.5,0.1,2,0.3667,0.3167,0.8833,77,2.5167,-0.1,-0.05,0.45,5,1D3U,2.0,False,0.734,0,False,right
78,78,0.5,0.1,1,0.25,0.4333,0.5333,78,2.0499,-0.34,-0.1667,0.3333,5,1D2U,2.0,True,1.858,2,False,right
79,79,0.5,0.1,1,0.4333,0.25,0.5667,79,2.6833,0.86,0.4333,0.9333,5,3D1U,1.0,True,0.324,0,False,left
80,80,0.5,0.1,1,0.3,0.3,0.4667,80,2.05,-0.02,-0.0167,0.4833,5,2D1U,2.0,True,0.59,4,False,right
81,81,0.5,0.1,2,0.4333,0.45,0.75,81,2.55,-0.18,-0.0833,0.4167,5,1D3U,2.0,False,0.883,1,True,right
82,82,0.5,0.1,1,0.4333,0.4,0.65,82,2.35,-0.26,-0.1333,0.3667,5,1D3U,2.0,True,0.35,1,False,right
83,83,0.5,0.1,2,0.4,0.3167,0.9,83,2.6334,0.02,0.0167,0.5167,5,2D1U,1.0,False,0.575,4,False,left
84,84,0.5,0.1,2,0.2167,0.2333,0.4833,84,1.9666,0.06,0.0333,0.5333,5,2D1U,2.0,True,1.417,4,False,right
85,85,0.5,0.1,2,0.4167,0.25,0.7167,85,2.2334,-0.3,-0.15,0.35,5,1D2U,1.0,True,0.499,2,False,left
86,86,0.5,0.1,2,0.4167,0.25,0.6,86,2.7,0.86,0.4333,0.9333,5,3D1U,2.0,True,0.534,0,False,right
87,87,0.5,0.1,1,0.2,0.2333,0.4167,87,1.7167,-0.26,-0.1333,0.3667,5,1D3U,1.0,False,2.383,1,False,left
88,88,0.5,0.1,2,0.25,0.3,0.4,88,2.3833,0.86,0.4333,0.9333,5,3D1U,1.0,False,0.567,0,False,left
89,89,0.5,0.1,2,0.3,0.3167,0.5667,89,2.0334,-0.3,-0.15,0.35,5,1D2U,1.0,True,0.543,2,False,left
