,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
100,100,0.5,0.1,2,0.45,0.25,0.6167,100,2.0834,-0.482,-0.2333,0.2667,5,3U1D,1.0,True,0.458,5,False,left
101,101,0.5,0.1,2,0.3333,0.4,0.65,101,2.15,-0.482,-0.2333,0.2667,5,3U1D,1.0,True,0.358,5,False,left
102,102,0.5,0.1,2,0.4,0.2167,0.65,102,2.2,-0.134,-0.0667,0.4333,5,2U1D,1.0,True,0.708,4,True,left
103,103,0.5,0.1,2,0.25,0.3167,0.4167,103,2.2834,0.61,0.3,0.8,5,3D1U,1.0,False,2.034,5,False,left
104,104,0.5,0.1,1,0.35,0.3333,0.65,104,2.4666,0.282,0.1333,0.6333,5,2D1U,1.0,True,0.45,2,False,left
105,105,0.5,0.1,1,0.2667,0.4,0.5833,105,2.0167,-0.482,-0.2333,0.2667,5,3U1D,2.0,True,0.392,5,False,right
106,106,0.5,0.1,2,0.25,0.3,0.8333,106,2.3166,-0.134,-0.0667,0.4333,5,2U1D,2.0,False,0.442,4,True,right
107,107,0.5,0.1,1,0.3167,0.3333,0.85,107,2.8167,0.646,0.3167,0.8167,5,3D1U,1.0,True,0.525,5,False,left
108,108,0.5,0.1,2,0.25,0.2333,0.7667,108,2.0333,-0.446,-0.2167,0.2833,5,3U1D,1.0,True,0.534,6,True,left
109,109,0.5,0.1,2,0.2167,0.4,0.7,109,2.45,0.282,0.1333,0.6333,5,2D1U,2.0,True,0.375,2,False,right
110,110,0.5,0.1,1,0.35,0.2333,0.65,110,2.15,-0.17,-0.0833,0.4167,5,2U1D,2.0,True,0.492,5,True,right
111,111,0.5,0.1,2,0.35,0.4333,0.7667,111,2.8667,0.646,0.3167,0.8167,5,3D1U,2.0,True,0.383,5,False,right
112,112,0.5,0.1,1,0.35,0.35,0.6167,112,2.2334,-0.17,-0.0833,0.4167,5,2U1D,1.0,False,0.542,5,True,left
113,113,0.5,0.1,2,0.4,0.45,0.6333,113,2.6,0.246,0.1167,0.6167,5,2D1U,2.0,True,0.308,3,True,right
114,114,0.5,0.1,1,0.3167,0.2167,0.6167,114,2.4668,0.646,0.3167,0.8167,5,3D1U,2.0,False,0.442,5,False,right
115,115,0.5,0.1,1,0.3833,0.3333,0.7667,115,2.2666,-0.446,-0.2167,0.2833,5,3U1D,2.0,True,0.392,6,True,right
116,116,0.5,0.1,2,0.4333,0.4167,0.6,116,2.35,-0.206,-0.1,0.4,5,2U1D,1.0,True,0.533,5,False,left
117,117,0.5,0.1,2,0.3,0.2167,0.6,117,2.2334,0.246,0.1167,0.6167,5,2D1U,2.0,True,0.343,3,True,right
118,118,0.5,0.1,2,0.3833,0.3333,0.6167,118,2.6666,0.682,0.3333,0.8333,5,3D1U,2.0,True,0.449,5,False,right
119,119,0.5,0.1,1,0.25,0.2833,0.6167,119,2.4833,0.682,0.3333,0.8333,5,3D1U,1.0,True,0.442,5,False,left
120,120,0.5,0.1,2,0.3667,0.2333,0.7833,120,2.1666,-0.446,-0.2167,0.2833,5,3U1D,1.0,True,0.491,6,True,left
121,121,0.5,0.1,1,0.4,0.3333,0.5833,121,2.2166,-0.206,-0.1,0.4,5,2U1D,2.0,True,0.592,5,False,right
122,122,0.5,0.1,2,0.2667,0.2,0.8667,122,2.1334,-0.41,-0.2,0.3,5,3U1D,1.0,True,0.458,6,False,left
123,123,0.5,0.1,1,0.2167,0.2667,0.6333,123,2.45,0.682,0.3333,0.8333,5,3D1U,1.0,True,0.35,5,False,left
124,124,0.5,0.1,1,0.35,0.3,0.6167,124,2.3667,0.21,0.1,0.6,5,2D1U,2.0,False,0.442,3,False,right
125,125,0.5,0.1,1,0.25,0.35,0.8667,125,2.3834,-0.17,-0.0833,0.4167,5,2U1D,2.0,True,0.442,6,True,right
126,126,0.5,0.1,2,0.3833,0.3667,0.5,126,2.1667,-0.17,-0.0833,0.4167,5,2U1D,1.0,True,0.507,6,True,left
127,127,0.5,0.1,2,0.35,0.4167,0.5167,127,2.0834,-0.41,-0.2,0.3,5,3U1D,1.0,True,0.391,6,False,left
128,128,0.5,0.1,1,0.35,0.3833,0.4,128,1.9333,-0.41,-0.2,0.3,5,3U1D,1.0,False,0.383,6,False,left
129,129,0.5,0.1,1,0.2833,0.4,0.5333,129,2.5333,0.646,0.3167,0.8167,5,3D1U,1.0,True,0.342,6,True,left
130,130,0.5,0.1,1,0.3333,0.2667,0.8667,130,2.4,-0.134,-0.0667,0.4333,5,2U1D,1.0,False,0.625,6,False,left
131,131,0.5,0.1,1,0.3667,0.45,0.7833,131,2.7167,0.246,0.1167,0.6167,5,2D1U,2.0,False,0.359,4,True,right
132,132,0.5,0.1,1,0.2833,0.3833,0.4667,132,2.2666,0.282,0.1333,0.6333,5,2D1U,1.0,True,0.442,4,False,left
133,133,0.5,0.1,2,0.45,0.2833,0.4333,133,1.9499,-0.446,-0.2167,0.2833,5,3U1D,1.0,True,0.442,7,True,left
134,134,0.5,0.1,2,0.3833,0.25,0.5167,134,2.0667,-0.17,-0.0833,0.4167,5,2U1D,2.0,False,0.459,7,True,right
135,135,0.5,0.1,2,0.2833,0.2667,0.5167,135,2.3834,0.646,0.3167,0.8167,5,3D1U,2.0,True,0.483,6,True,right
