,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
26,26,0.49853,0.1,1,0.39883,0.42375,0.81427,26,2.26832,-0.74,-0.3739,0.13294,5,1D3U,2.0,True,0.493,0,False,right,0.0,0.4005,0.5339,0.1335,1.3505,1.8501,0.4996,A
27,27,0.49853,1.2,2,0.23265,0.29912,0.61486,27,2.09384,-0.1,-0.04985,0.44868,5,3D1U,1.0,True,0.504,0,False,left,0.0,1.3492,1.7987,0.4494,0.2315,0.7313,0.4999,A
28,28,0.49853,0.1,2,0.19941,0.44868,0.55669,28,1.81133,-0.78,-0.39052,0.10802,5,1D2U,1.0,True,0.407,2,True,left,0.0,1.2616,1.3704,0.1088,0.2032,0.7037,0.5005,V
29,29,0.49853,1.2,2,0.34066,0.29081,0.87243,29,2.13537,-0.74,-0.3739,0.13294,5,1D3U,1.0,True,0.622,0,False,left,0.0,1.7125,1.8456,0.1331,0.3373,0.8371,0.4998,V
30,30,0.49853,0.1,2,0.42375,0.32405,0.44868,30,2.06891,-0.26,-0.13294,0.3739,5,2D1U,1.0,True,0.608,0,False,left,0.0,1.3787,1.7537,0.375,0.4282,0.9285,0.5003,A
31,31,0.49853,1.2,1,0.27419,0.40713,0.7478,31,1.9775,-0.9,-0.44868,0.04985,5,lapse_rate,2.0,True,0.656,0,False,right,0.0,0.2731,0.3238,0.0507,1.0728,1.5729,0.5001,V
32,32,0.49853,0.1,1,0.36559,0.30743,0.54838,32,1.76978,-0.9,-0.44868,0.04985,5,lapse_rate,2.0,True,0.617,0,False,right,0.0,0.3693,0.4195,0.0502,0.9696,1.4698,0.5002,A
33,33,0.49853,1.2,1,0.21603,0.33235,0.50684,33,1.68669,-0.74,-0.3739,0.13294,5,1D2U,1.0,False,1.03,2,False,left,0.0,0.2166,0.35,0.1334,0.8578,1.3571,0.4994,A
34,34,0.49853,0.1,1,0.29912,0.20772,0.68133,34,2.13538,-0.1,-0.04985,0.44868,5,2D1U,1.0,False,0.887,0,False,left,0.0,0.3028,0.753,0.4502,1.4361,1.9356,0.4995,A
35,35,0.49853,1.2,1,0.30743,0.43206,0.61486,35,2.38465,0.06,0.03324,0.53177,5,3D1U,1.0,True,1.669,0,False,left,0.0,0.3102,0.8438,0.5337,1.4601,1.9608,0.5007,V
