,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue,VisualPSE
141,0.50024,0.1,1,0.30014,0.38352,0.54193,141,2.0093,-0.43,-0.21677,0.28347,5,1D2U,2.0,True,0.542,11,False,right,-0.45022,0.1608,0.7275,0.5667,1.3525,1.6859,0.3334,A,0.2835
142,0.50024,0.1,1,0.36684,0.40853,1.1839,142,2.48452,-0.95,-0.47523,0.02501,5,lapse_rate,2.0,True,0.491,0,False,right,0.45022,0.2259,0.5342,0.3083,1.3512,2.5843,1.2331,A,0.2835
143,0.50024,1.2,2,0.32516,0.36684,0.46689,143,2.30111,0.29,0.14173,0.64198,5,2D1U,2.0,True,0.575,14,False,right,-0.45022,1.0654,1.9904,0.925,0.4073,0.7408,0.3335,A,0.2795
144,0.50024,1.2,2,0.65865,0.43354,0.95879,144,2.83469,-0.43,-0.21677,0.28347,5,1D2U,2.0,False,0.408,11,False,right,0.45022,2.3435,2.9109,0.5675,0.2943,1.5273,1.233,A,0.2795
145,0.50024,1.2,2,0.21677,0.39185,0.43354,145,1.56741,-0.95,-0.47523,0.02501,5,lapse_rate,1.0,True,0.492,0,False,left,-0.45022,0.9233,1.2321,0.3088,0.2985,0.6322,0.3337,A,0.2795
146,0.50024,0.1,2,0.48357,0.34183,0.98381,146,2.95143,0.29,0.14173,0.64198,5,2D1U,1.0,False,0.325,14,False,left,0.45022,2.1947,3.1195,0.9248,0.1195,1.3528,1.2332,A,0.2835
147,0.50024,0.1,1,0.28347,0.32516,0.44188,147,1.81754,-0.47,-0.23345,0.26679,5,1D2U,2.0,True,0.675,12,True,right,-0.45022,0.1391,0.6888,0.5498,1.2138,1.547,0.3332,A,0.2835
148,0.50024,0.1,1,0.32516,0.47523,1.33397,148,2.65961,-0.95,-0.47523,0.02501,5,lapse_rate,2.0,True,0.459,0,False,right,0.45022,0.1799,0.4883,0.3083,1.455,2.6964,1.2414,A,0.2835
149,0.50024,1.2,2,0.29181,0.25012,0.43354,149,1.7425,-0.47,-0.23345,0.26679,5,1D2U,2.0,False,0.692,12,True,right,-0.45022,0.9992,1.5494,0.5503,0.3743,0.707,0.3328,A,0.2795
150,0.50024,1.2,2,0.5586,0.45855,0.88376,150,3.06814,0.33,0.16675,0.66699,5,2D1U,2.0,True,0.525,14,False,right,0.45022,2.1679,3.1265,0.9586,0.1929,1.4264,1.2335,A,0.2795
151,0.50024,0.1,2,0.38352,0.28347,0.64198,151,2.75967,0.9,0.45022,0.95046,5,lapse_rate,2.0,True,0.524,0,False,right,-0.45022,1.2982,2.5317,1.2335,0.4647,0.7982,0.3335,A,0.2835
152,0.50024,0.1,2,0.50858,0.51692,0.93378,152,3.40998,0.9,0.45022,0.95046,5,lapse_rate,2.0,True,0.391,0,False,right,0.45022,2.1638,3.397,1.2332,0.1384,1.3719,1.2335,A,0.2835
153,0.50024,0.1,2,0.21677,0.4252,0.81706,153,2.62626,0.33,0.16675,0.66699,5,2D1U,2.0,True,0.542,14,False,right,-0.45022,1.3048,2.2547,0.9499,0.2965,0.6301,0.3336,A,0.2835
154,0.50024,0.1,1,0.50024,0.54193,0.692,154,2.47619,-0.51,-0.25846,0.24178,5,1D2U,2.0,True,0.409,12,False,right,0.45022,0.3554,0.8805,0.5251,1.205,2.4384,1.2334,A,0.2835
155,0.50024,1.2,2,0.30014,0.21677,0.79205,155,2.05098,-0.51,-0.25846,0.24178,5,1D2U,1.0,True,0.6,12,False,left,-0.45022,1.3695,1.8948,0.5252,0.3863,0.7194,0.3332,A,0.2795
156,0.50024,1.2,2,0.45022,0.35017,0.94212,156,3.19321,0.9,0.45022,0.95046,5,lapse_rate,2.0,True,0.375,0,False,right,0.45022,2.1146,3.3479,1.2333,0.0808,1.3145,1.2337,A,0.2795
157,0.50024,1.2,1,0.38352,0.36684,0.85041,157,2.74299,0.29,0.14173,0.64198,5,2D1U,1.0,True,0.441,15,True,left,-0.45022,0.2386,1.1632,0.9246,2.0971,2.4304,0.3333,A,0.2795
