,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
19,0.50134,1.2,1,0.4512,0.24231,0.71023,19,2.70722,0.61,0.30916,0.80214,5,2D1U,1.0,True,1.14,1,True,left,0.0,0.0007541999220848083,2.715550399851054,2.714796199928969,1.948934799991548,2.4482936998829246,0.4993588998913765,
20,0.50134,0.1,2,0.36765,0.41778,0.79378,20,3.03309,0.9,0.4512,0.95254,5,lapse_rate,2.0,True,1.255,0,False,right,0.0,0.0003368002362549305,3.039174599573016,3.0388377993367612,0.3555398997850716,0.8554599997587502,0.4999200999736786,
21,0.50134,0.1,2,0.2256,0.40107,0.6016,21,1.92179,-0.61,-0.30916,0.19218,5,2U1D,1.0,True,0.46,1,True,left,0.0,0.0007956000044941902,1.9322122000157833,1.9314166000112891,0.2156118997372687,0.7157394997775555,0.5001276000402868,
22,0.50134,0.1,2,0.25902,0.44285,0.71023,22,1.96357,-0.9,-0.4512,0.05013,5,lapse_rate,1.0,True,0.933,0,False,left,0.0,0.0007877000607550144,1.973110600374639,1.972322900313884,0.2486225999891758,0.7486368999816477,0.5000142999924719,
23,0.50134,1.2,2,0.25902,0.40943,0.51805,23,2.31451,0.25,0.12533,0.62667,5,1D1U,2.0,True,0.643,0,False,right,0.0,0.0007635001093149185,2.316124999895692,2.315361499786377,0.2491561002098024,0.7493508001789451,0.5001946999691427,
24,0.50134,0.1,2,0.40943,0.27574,0.64338,24,2.63203,0.61,0.30916,0.80214,5,2D1U,1.0,False,2.759,1,True,left,0.0,0.0007482999935746193,2.640771500300616,2.6400232003070414,0.39882929995656013,0.8986768000759184,0.4998475001193583,
25,0.50134,1.2,2,0.27574,0.2256,0.57654,25,1.79647,-0.57,-0.28409,0.21725,5,1U1D,2.0,False,6.089,1,False,right,0.0,0.0007565999403595924,1.8050616001710296,1.80430500023067,0.264037299901247,0.7636319003067911,0.49959460040554404,
26,0.50134,0.1,2,0.21725,0.43449,0.46791,26,1.80481,-0.63,-0.31751,0.18382,5,1U1D,1.0,True,3.334,1,False,left,0.0,0.0006979000754654408,1.8078592997044325,1.807161399628967,0.20741889998316765,0.7074520997703075,0.5000331997871399,
27,0.50134,1.2,2,0.36765,0.41778,0.61832,27,2.48163,0.15,0.0752,0.57654,5,1D1U,2.0,True,2.512,0,False,right,0.0,0.0004469999112188816,2.482473200187087,2.482026200275868,0.35741550009697676,0.857560200151056,0.5001447000540793,
28,0.50134,0.1,2,0.38436,0.38436,0.79378,28,2.27273,-0.574,-0.28409,0.20889,5,2U1D,1.0,True,0.925,2,True,left,0.0,0.0007640998810529709,2.2826959998346865,2.2819318999536335,0.3745814999565482,0.8739232998341322,0.499341799877584,
29,0.50134,1.2,2,0.30916,0.27574,0.45956,29,2.49834,0.9,0.4512,0.95254,5,lapse_rate,2.0,True,34.266,0,False,right,0.0,0.0007702996954321861,2.498013499658555,2.4972431999631226,0.2973305997438729,0.7975435997359455,0.5002129999920726,
30,0.50134,1.2,1,0.30916,0.28409,0.48463,30,2.41478,0.67,0.33422,0.83556,5,2D1U,1.0,True,0.918,1,False,left,0.0,0.0008117998950183392,2.4157159002497792,2.414904100354761,1.6149102002382278,2.1153625999577343,0.5004523997195065,
31,0.50134,0.1,1,0.21725,0.21725,0.73529,31,1.87166,-0.594,-0.3008,0.20053,5,1U1D,2.0,True,0.292,2,True,right,0.0,0.0007247999310493469,1.882387399673462,1.8816625997424126,1.1407745997421443,1.6414745999500155,0.5007000002078712,
32,0.50134,1.2,1,0.28409,0.3008,0.80214,32,2.09726,-0.574,-0.28409,0.20889,5,2U1D,1.0,False,1.705,2,True,left,0.0,0.0006475998088717461,2.106152500025928,2.1055049002170563,1.281637900043279,1.7811849997378886,0.49954709969460964,
33,0.50134,0.1,1,0.29245,0.40943,0.5264,33,2.56518,0.67,0.33422,0.83556,5,2D1U,2.0,False,0.746,1,False,right,0.0,0.000753999687731266,2.574362500105053,2.573608500417322,1.6409482997842133,2.140703300014138,0.4997550002299249,
34,0.50134,1.2,1,0.28409,0.29245,0.75201,34,2.35629,0.05,0.02507,0.5264,5,1D1U,1.0,True,0.73,0,False,left,0.0,0.0007601999677717686,2.364360800012946,2.3636006000451744,1.5483952998183668,2.0482779000885785,0.4998826002702117,
35,0.50134,0.1,1,0.30916,0.25902,0.55147,35,2.57353,0.9,0.4512,0.95254,5,lapse_rate,2.0,False,0.31,0,False,right,0.0,0.0003806999884545803,2.572962200269103,2.5725815002806485,1.7979535004124045,2.2974783000536263,0.49952479964122176,
36,0.50134,0.1,1,0.27574,0.20889,0.61832,36,1.82154,-0.558,-0.27574,0.21725,5,1U1D,2.0,True,0.331,2,False,right,0.0,0.0007313997484743595,1.831824399996549,1.8310930002480745,1.0991735998541117,1.598851399961859,0.4996778001077473,
