,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetAudio,recordedOffsetAudio,recordedDurAudio,modalityPostCue
65,0.5002,0.0,1,0.5002,0.6003,0.0417,65,1.6924,-0.9,-0.4502,0.05,5,lapse_rate,2.0,True,0.908,0,False,right,0.0,0.486732899999879,0.5368048999998791,0.050072000000000116,0.5782194999999319,1.0783329000000776,0.5001134000001457,
66,0.5002,0.0,1,0.5169,0.5919,0.6086,66,2.9179,0.4044,0.2001,0.7003,5,2D1U,2.0,False,2.441,3,True,right,0.0,0.5061917000000449,1.2144075999999586,0.7082158999999137,1.8062993999999435,2.306112100000064,0.49981270000012046,
67,0.5002,0.0,1,0.4919,0.4586,0.2168,67,2.0677,-0.2044,-0.1,0.4002,5,1U1D,2.0,True,0.9,8,True,right,0.0,0.48272029999998267,0.8911004999999932,0.4083802000000105,1.0911779000000479,1.5913186000000223,0.5001406999999745,
68,0.5002,0.0,1,0.4836,0.5419,0.4419,68,2.718,0.4942,0.2501,0.7504,5,2D1U,1.0,True,0.85,3,False,left,0.0,0.4715274000000136,1.2298163000000386,0.758288900000025,1.6548407000000225,2.154755400000113,0.4999147000000903,
69,0.5002,0.0,1,0.5419,0.5836,0.8504,69,3.2265,0.4942,0.2501,0.7504,5,2D1U,2.0,False,0.3,3,False,right,0.0,0.5288946999999098,1.2871880999998666,0.7582933999999568,2.1205777999998645,2.620656199999985,0.5000784000001204,
70,0.5002,0.0,1,0.5252,0.617,0.7337,70,2.5929,-0.5622,-0.2835,0.2168,5,2U1D,2.0,True,0.258,3,True,right,0.0,0.5143285999999989,0.7389565000000857,0.2246279000000868,1.4559725000001436,1.95584400000007,0.4998714999999265,
71,0.5002,0.0,2,0.5836,0.6086,0.1334,71,2.4428,0.2282,0.1167,0.617,5,1D1U,1.0,False,2.208,3,False,left,0.0,1.2106498999999076,1.827163100000007,0.6165132000000995,0.5773729000000003,1.0774923999999828,0.5001194999999825,
72,0.5002,0.0,2,0.4002,0.617,0.7087,72,2.8847,0.318,0.1584,0.6586,5,1D1U,2.0,True,1.383,3,False,right,0.0,1.5954784999998992,2.2456902999999784,0.6502118000000792,0.3871828999999707,0.8869958999998744,0.4998129999999037,
73,0.5002,0.0,1,0.6086,0.4586,0.0333,73,2.0426,-0.1147,-0.0584,0.4419,5,1U1D,2.0,True,0.483,8,False,right,0.0,0.599440100000038,1.0493513000001258,0.4499112000000878,1.0662454000000707,1.5663005000001249,0.5000551000000542,
74,0.5002,0.0,2,0.5586,0.4752,0.5086,74,2.8346,0.584,0.2918,0.792,5,2D1U,2.0,True,0.816,3,False,right,0.0,1.5556011999999555,2.355592500000057,0.7999913000001015,0.547401900000068,1.047787800000151,0.500385900000083,
75,0.5002,0.0,2,0.5919,0.617,0.3168,75,2.2927,-0.4724,-0.2334,0.2668,5,2U1D,2.0,False,1.891,4,True,right,0.0,1.3989294999998947,1.6653773999998975,0.26644790000000285,0.582141300000103,1.082476799999995,0.5003354999998919,
76,0.5002,0.0,1,0.617,0.5002,0.767,76,2.6012,-0.5622,-0.2835,0.2168,5,2U1D,2.0,True,0.674,5,True,right,0.0,0.6063176000000112,0.8314940000000206,0.22517640000000938,1.5811820999999782,2.081737700000076,0.5005556000000979,
