,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
19,0.4989,0.1,1,0.29934,0.20787,0.76498,19,2.09537,-0.35,-0.17461,0.32428,5,1U1D,2.0,True,0.34,0,False,right,0.0,0.0007260995917022228,2.097772100009024,2.097046000417322,1.3809687001630664,1.8813229002989829,0.5003542001359165,
20,0.4989,1.2,2,0.43238,0.35754,0.87307,20,2.96844,0.61,0.30765,0.80655,5,2D1U,2.0,True,0.333,1,True,right,0.0,0.0007373001426458359,2.974411000031978,2.973673699889332,0.42359620006754994,0.9240284999832511,0.5004322999157012,
21,0.4989,0.1,2,0.38249,0.32428,0.71509,21,2.62753,0.41,0.20787,0.70677,5,1D1U,2.0,True,0.114,1,True,right,0.0,0.0007644998840987682,2.624824299942702,2.6240598000586033,0.3746742997318506,0.874824299942702,0.5001500002108514,
22,0.4989,1.2,2,0.36586,0.27439,0.70677,22,2.22009,-0.25,-0.12472,0.37417,5,1U1D,1.0,True,0.309,0,False,left,0.0,0.0007972000166773796,2.231260800268501,2.2304636002518237,0.35619849991053343,0.8561411001719534,0.49994260026142,
23,0.4989,0.1,2,0.42406,0.23282,0.60699,23,2.56932,0.61,0.30765,0.80655,5,2D1U,2.0,True,0.143,1,True,right,0.0,0.000768700148910284,2.572595899924636,2.5718271997757256,0.41427480010315776,0.9129059999249876,0.4986311998218298,
24,0.4989,0.1,2,0.27439,0.34091,0.74003,24,2.80214,0.9,0.44901,0.94791,5,lapse_rate,2.0,True,0.242,0,False,right,0.0,0.0007250998169183731,2.806657800450921,2.8059327006340027,0.265153800137341,0.7644635001197457,0.4993096999824047,
25,0.4989,1.2,2,0.20787,0.35754,0.8897,25,2.1702,-0.574,-0.29102,0.21619,5,2U1D,1.0,True,0.266,2,True,left,0.0,0.0007612002082169056,2.182040300220251,2.181279100012034,0.1989198001101613,0.6991455000825226,0.5002256999723613,
26,0.4989,0.1,2,0.27439,0.2245,0.7234,26,2.14525,-0.15,-0.07483,0.42406,5,1U1D,1.0,True,0.363,0,False,left,0.0,0.0007329997606575489,2.1489734002389014,2.148240400478244,0.26604139991104603,0.7664832002483308,0.5004418003372848,
27,0.4989,1.2,2,0.41575,0.36586,0.85644,27,2.92687,0.574,0.29102,0.78992,5,2D1U,2.0,True,0.256,2,True,right,0.0,0.0007871999405324459,2.924057099968195,2.9232699000276625,0.4076355998404324,0.9072464001365006,0.4996108002960682,
28,0.4989,0.1,2,0.21619,0.27439,0.8315,28,2.03717,-0.574,-0.29102,0.21619,5,2U1D,1.0,True,0.491,2,True,left,0.0,0.0007497998885810375,2.042748599778861,2.0419987998902798,0.20856319973245263,0.7088514999486506,0.500288300216198,
29,0.4989,1.2,2,0.24113,0.3326,0.71509,29,2.47786,0.374,0.18293,0.69014,5,1D1U,2.0,True,0.247,2,True,right,0.0,0.0007778001017868519,2.4806583002209663,2.4798805001191795,0.23074690019711852,0.732162700034678,0.5014157998375595,
30,0.4989,0.1,1,0.25776,0.24945,0.71509,30,1.77109,-0.9,-0.44901,0.04989,5,lapse_rate,2.0,True,0.114,0,False,right,0.0,0.0007642996497452259,1.7811787999235094,1.7804145002737641,1.0152960000559688,1.5155521002598107,0.5002561002038419,
31,0.4989,0.1,1,0.34923,0.20787,0.74835,31,2.2783,-0.05,-0.02494,0.47395,5,1U1D,1.0,False,0.564,0,False,left,0.0,0.0007335999980568886,2.2734042000956833,2.2726706000976264,1.5647873999550939,2.0652141999453306,0.5004267999902368,
32,0.4989,1.2,1,0.26608,0.38249,0.59868,32,2.53607,0.574,0.29102,0.78992,5,2D1U,2.0,False,0.56,2,True,right,0.0,0.0007267999462783337,2.540205500088632,2.5394787001423538,1.6493579000234604,2.148481999989599,0.4991240999661386,
33,0.4989,0.1,1,0.29934,0.43238,0.6652,33,2.12864,-0.538,-0.26608,0.23282,5,2U1D,2.0,True,0.485,2,False,right,0.0,0.0007340000011026859,2.131392499897629,2.1306584998965263,1.189913499634713,1.6897568996064365,0.49984339997172356,
34,0.4989,1.2,1,0.34923,0.29934,0.65688,34,1.85424,-0.9,-0.44901,0.04989,5,lapse_rate,2.0,True,0.176,0,False,right,0.0,0.0007771002128720284,1.854914200026542,1.85413709981367,1.055018600076437,1.555067399982363,0.500048799905926,
35,0.4989,1.2,1,0.3908,0.3908,0.77329,35,2.71899,0.338,0.1663,0.6652,5,1D1U,1.0,True,0.233,2,False,left,0.0,0.00078629981726408,2.7214966998435557,2.7207104000262916,1.830419400241226,2.3304925998672843,0.5000731996260583,
36,0.4989,0.1,1,0.37417,0.37417,0.5571,36,2.03716,-0.538,-0.26608,0.23282,5,2U1D,2.0,True,0.15,2,False,right,0.0,0.0004829997196793556,2.04010450001806,2.039621500298381,1.1578811998479068,1.6564676999114454,0.49858650006353855,
37,0.4989,1.2,1,0.26608,0.42406,0.7234,37,2.36145,-0.11,-0.0582,0.44901,5,1U1D,2.0,True,0.128,1,True,right,0.0,0.000744400080293417,2.3642321000806987,2.3634877000004053,1.4308520997874439,1.930498699657619,0.4996465998701751,
38,0.4989,0.1,1,0.27439,0.30765,0.62362,38,2.35313,0.302,0.14967,0.64857,5,1D1U,2.0,False,0.299,2,False,right,0.0,0.0007543000392615795,2.363629300147295,2.3628750001080334,1.5401507001370192,2.039676900021732,0.4995261998847127,
39,0.4989,1.2,1,0.39912,0.36586,0.51553,39,2.58596,0.61,0.30765,0.80655,5,2D1U,2.0,False,0.157,3,True,right,0.0,0.0008129999041557312,2.5985429999418557,2.5977300000377,1.7147055002860725,2.2154014999978244,0.5006959997117519,
40,0.4989,1.2,2,0.36586,0.44069,0.42406,40,1.7794,-0.9,-0.44901,0.04989,5,lapse_rate,1.0,True,0.237,0,False,left,0.0,0.00039010029286146164,1.7824071999639273,1.7820170996710658,0.35706100007519126,0.8567380998283625,0.4996770997531712,
