,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
127,0.5003,0.0,2,0.4669,0.5503,0.3169,127,2.2013,-0.272,-0.1334,0.3669,5,1D1U,2.0,False,4.967,13,False,right,0.0,1.2748117999872193,1.6413907999522053,0.366578999964986,0.4581227999879047,0.9582282999763265,0.5001054999884218,
128,0.5003,0.0,2,0.6004,0.5003,0.1251,128,2.118,-0.216,-0.1084,0.3919,5,1U1D,1.0,True,4.284,14,False,left,0.0,1.216609499999322,1.607772599963937,0.39116309996461496,0.5913293999619782,1.0912787999841385,0.49994940002216026,
129,0.5003,0.0,2,0.542,0.567,0.4503,129,2.3181,-0.48,-0.2418,0.2585,5,2U1D,1.0,True,0.292,6,False,left,0.0,1.4832006000215188,1.7418635000358336,0.2586629000143148,0.5333346999832429,1.033168800000567,0.4998341000173241,
130,0.5003,0.0,2,0.592,0.517,0.8338,130,3.0268,0.16,0.0834,0.5837,5,2D1U,2.0,True,0.161,6,False,right,0.0,1.9164234999916516,2.4994517999584787,0.583028299966827,0.5827117000008002,1.0829876000061631,0.5002759000053629,
131,0.5003,0.0,1,0.4669,0.4836,0.3085,131,2.0845,-0.344,-0.1751,0.3252,5,1D1U,2.0,True,1.316,13,False,right,0.0,0.4566542999818921,0.7819277999806218,0.3252734999987297,1.0900386999710463,1.589663999970071,0.4996252999990247,
132,0.5003,0.0,1,0.5587,0.4836,0.2418,132,2.2097,-0.144,-0.075,0.4253,5,1U1D,2.0,True,1.141,14,False,right,0.0,0.5487107999506406,0.9740613999892958,0.4253506000386551,1.2153524999739602,1.715595499961637,0.5002429999876767,
133,0.5003,0.0,1,0.4586,0.5086,0.8672,133,2.8016,-0.072,-0.0334,0.4669,5,1U1D,2.0,True,3.583,14,False,right,0.0,0.44896839995635673,0.9156437999918126,0.4666754000354558,1.7823699999717064,2.2824649999965914,0.5000950000248849,
134,0.5003,0.0,2,0.567,0.4836,0.6921,134,2.6099,-0.272,-0.1334,0.3669,5,1D1U,2.0,False,4.3,14,True,right,0.0,1.7497707000002265,2.116692800016608,0.3669221000163816,0.5581528000184335,1.0580829000100493,0.49993009999161586,
135,0.5003,0.0,1,0.5837,0.5086,0.8755,135,3.0518,0.16,0.0834,0.5837,5,2D1U,1.0,True,2.733,6,False,left,0.0,0.5751817999989726,1.1589160999865271,0.5837342999875546,2.0336159999715164,2.5333679000032134,0.499751900031697,
136,0.5003,0.0,1,0.4836,0.5337,0.1834,136,1.9595,-0.48,-0.2418,0.2585,5,2U1D,2.0,True,0.575,6,False,right,0.0,0.47441409999737516,0.7328338000224903,0.25841970002511516,0.9246623000362888,1.4251237999997102,0.5004614999634214,
