,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
26,0.50108,1.2,2,0.24219,0.29229,0.89359,26,2.48869,0.12,0.05846,0.55954,5,1D1U,2,TRUE,0.938,1,TRUE,right,0,0.0006098,2.4908952,2.4902854,0.2322114,0.7323906,0.5001792,
27,0.50108,0.1,2,0.43427,0.36746,0.71821,27,2.18805,-0.66,-0.33405,0.16703,5,1U1D,2,FALSE,0.734,3,TRUE,right,0,0.0002853,2.1910075,2.1907222,0.4245946,0.9247266,0.500132,
28,0.50108,1.2,2,0.35911,0.33405,0.69316,28,2.58891,0.4,0.20043,0.70151,5,2D1U,2,TRUE,0.788,0,FALSE,right,0,0.0002756,2.5992285,2.5989529,0.3492803,0.8489977,0.4997174,
29,0.50108,0.1,2,0.36746,0.36746,0.56789,29,1.854,-0.9,-0.45097,0.05011,5,lapse_rate,1,TRUE,2.441,0,FALSE,left,0,0.0004817,1.8662683,1.8657866,0.3579179,0.8574764,0.4995585,
30,0.50108,0.1,1,0.42592,0.29229,0.81007,30,2.13793,-0.78,-0.39251,0.10857,5,2U1D,1,FALSE,2.567,1,TRUE,left,0,0.0004257,2.1380964,2.1376707,1.3299681,1.8296148,0.4996467,
31,0.50108,1.2,1,0.20878,0.41756,0.65975,31,1.86233,-0.852,-0.42592,0.07516,5,2U1D,1,FALSE,1.13,2,TRUE,left,0,0.0003089,1.865346,1.8650371,0.9323733,1.4323806,0.5000073,
32,0.50108,1.2,1,0.42592,0.42592,0.78502,32,2.18805,-0.9,-0.45097,0.05011,5,lapse_rate,2,TRUE,1.376,0,FALSE,right,0,0.0002842,2.190529,2.1902448,1.2489445,1.7486633,0.4997188,
33,0.50108,0.1,1,0.38416,0.39251,0.55118,33,2.35506,0.048,0.02505,0.52613,5,1D1U,1,TRUE,0.417,2,TRUE,left,0,0.0003051,2.3580543,2.357749199,1.4494016,1.9495328,0.5001312,
34,0.50108,1.2,1,0.37581,0.23384,0.55954,34,1.80389,-0.732,-0.36746,0.13362,5,1U1D,1,FALSE,0.757,4,TRUE,left,0,0.0003124,1.8079705,1.8076581,1.0578601,1.5577396,0.4998795,
35,0.50108,0.1,1,0.31735,0.309,0.52613,35,2.25485,0.2,0.10022,0.60129,5,2D1U,1,TRUE,0.112,0,FALSE,left,0,0.0007578,2.257427,2.2566692,1.4328333,1.9332075,0.5003742,
36,0.50108,1.2,1,0.3424,0.40086,0.64305,36,1.98761,-0.804,-0.40086,0.10022,5,1U1D,2,TRUE,0.935,4,FALSE,right,0,0.0002947,1.990221,1.9899263,1.0741654,1.5745291,0.5003637,
37,0.50108,1.2,1,0.35911,0.42592,0.6514,37,2.88956,0.9,0.45097,0.95205,5,lapse_rate,1,TRUE,0.24,0,FALSE,left,0,0.0007446,2.8916749,2.8909303,1.9503907,2.4506428,0.5002521,
38,0.50108,0.1,1,0.26724,0.25889,0.86853,38,2.38011,-0.024,-0.00835,0.48437,5,1D1U,1,FALSE,0.545,2,FALSE,left,0,0.0007408,2.3907433,2.3900025,1.6071535,2.1077295,0.500576,
39,0.50108,1.2,1,0.25889,0.20043,0.46767,39,2.02936,0.2,0.10022,0.60129,5,2D1U,1,TRUE,1.743,0,FALSE,left,0,0.0007487,2.0419806,2.0412319,1.3165249,1.8171903,0.5006654,
40,0.50108,0.1,1,0.28394,0.309,0.59294,40,1.73707,-0.9,-0.45097,0.05011,5,2U1D,2,TRUE,0.185,2,FALSE,right,0,0.0006782,1.7411315,1.7404533,0.9166286,1.4162166,0.499588,
41,0.50108,1.2,1,0.25054,0.36746,0.53448,41,2.15464,0,0,0.50108,5,2D1U,1,FALSE,1.318,0,FALSE,left,0,0.0002918,2.1661311,2.1658393,1.274364,1.7744386,0.5000746,
42,0.50108,0.1,1,0.42592,0.3257,0.81007,42,2.19639,-0.732,-0.36746,0.13362,5,1U1D,1,FALSE,2.353,5,TRUE,left,0,0.0007062,2.2080198,2.2073136,1.3582482,1.8578627,0.4996145,
43,0.50108,1.2,1,0.30065,0.30065,0.48437,43,1.63686,-0.9,-0.45097,0.05011,5,2U1D,2,TRUE,1.415,2,FALSE,right,0,0.0003074,1.6403817,1.6400743,0.8234832,1.3237323,0.5002491,
44,0.50108,1.2,1,0.40086,0.25054,0.52613,44,2.63066,0.9,0.45097,0.95205,5,lapse_rate,2,FALSE,1.83,0,FALSE,right,0,0.0007104,2.6313478,2.6306374,1.8646245,2.3648257,0.5002012,
45,0.50108,0.1,1,0.37581,0.42592,0.45932,45,2.2131,-0.096,-0.05011,0.45097,5,1D1U,2,TRUE,1.011,3,TRUE,right,0,0.0003167,2.215415,2.2150983,1.2734181,1.7735396,0.5001215,
46,0.50108,1.2,1,0.3424,0.35075,0.48437,46,1.77882,-0.804,-0.40086,0.10022,5,1U1D,2,TRUE,1.338,6,TRUE,right,0,0.0006824,1.7826235,1.7819411,0.9158514,1.41562,0.4997686,
47,0.50108,1.2,1,0.26724,0.36746,0.45932,47,1.64521,-0.9,-0.45097,0.05011,5,lapse_rate,1,FALSE,2.073,0,FALSE,left,0,0.0007174,1.6414723,1.640754899,0.7667863,1.2660813,0.499295,
48,0.50108,0.1,1,0.41756,0.20043,0.86018,48,2.06276,-0.828,-0.41756,0.08351,5,2U1D,2,TRUE,1.431,3,TRUE,right,0,0.0003387,2.0651389,2.0648002,1.3481828,1.8486948,0.500512,
49,0.50108,1.2,1,0.44262,0.36746,0.79337,49,2.66407,0.12,0.05846,0.55954,5,2D1U,1,TRUE,1.167,1,TRUE,left,0,0.0007684,2.6562184,2.65545,1.7812255,2.2814148,0.5001893,
50,0.50108,0.1,1,0.42592,0.22548,0.62635,50,2.2632,-0.024,-0.00835,0.48437,5,1D1U,1,FALSE,1.462,4,TRUE,left,0,0.0006678,2.2646361,2.2639683,1.5230499,2.0235987,0.5005488,
51,0.50108,1.2,1,0.41756,0.20043,0.71821,51,1.92079,-0.828,-0.41756,0.08351,5,2U1D,2,TRUE,0.646,3,TRUE,right,0,0.0007553,1.9247003,1.923945,1.2080686,1.7080158,0.4999472,
52,0.50108,0.1,1,0.39251,0.20043,0.50943,52,1.73707,-0.732,-0.36746,0.13362,5,1U1D,1,FALSE,0.726,7,TRUE,left,0,0.0002753,1.7575728,1.7572975,1.0240647,1.5246046,0.5005399,
