,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetAudio,recordedOffsetAudio,recordedDurAudio,modalityPostCue
0,0.5024,0.0,2,0.5694,0.5024,0.7703,0,3.299,0.9,0.4522,0.9545,5,1U1D,2.0,True,3.402,0,False,right,0.0,0.911745500023244,1.8783202500198968,0.9665747499966528,0.2777937920182012,0.5283969580195844,0.2506031660013832,
1,0.5024,0.0,1,0.5191,0.4522,0.6029,1,3.0311,0.9,0.4522,0.9545,5,2U1D,1.0,True,0.798,0,False,left,0.0,0.25610754199442454,1.2218049580114894,0.9656974160170648,1.3888964579964522,1.688450042012846,0.29955358401639387,
2,0.5024,0.0,1,0.5024,0.4689,0.6029,2,3.0311,0.9,0.4522,0.9545,5,2U1D,2.0,False,0.984,0,False,right,0.0,0.25308379100169986,1.2194356659892946,0.9663518749875948,1.235889125004178,1.5895867079962045,0.3536975829920266,
3,0.5024,0.0,2,0.6196,0.4019,0.7536,3,3.232,0.9,0.4522,0.9545,5,2D1U,2.0,True,0.368,0,False,right,0.0,1.535674792015925,2.502157042006729,0.9664822499908041,0.33659587500733323,0.8371077920019161,0.5005119169945829,
4,0.5024,0.0,2,0.6196,0.4856,0.6029,4,3.0646,0.7,0.3517,0.8541,5,1U1D,1.0,False,3.1,0,False,left,0.0,1.6457922080007847,2.502477292000549,0.8566850839997642,0.6013878329831641,1.101078832987696,0.4996910000045318,
5,0.5024,0.0,2,0.5526,0.5359,0.8373,5,2.4784,-0.9,-0.4522,0.0502,5,lapse_rate,2.0,False,1.249,0,False,right,0.0,0.9302495419979095,0.9938417500234209,0.06359220802551135,0.2626231670146808,0.5127209589991253,0.2500977919844445,
6,0.5024,0.0,1,0.6364,0.5694,0.0837,6,2.7464,0.9,0.4522,0.9545,5,1D1U,1.0,True,0.214,0,False,left,0.0,0.3065919580112677,1.2742089579987805,0.9676169999875128,0.8104452500119805,1.0607261250261217,0.2502808750141412,
7,0.5024,0.0,2,0.5526,0.5526,0.6699,7,3.1986,0.834,0.4187,0.9211,5,1U1D,2.0,True,0.161,1,True,right,0.0,1.2469559999881312,2.1804652090067975,0.9335092090186663,0.26396420900709927,0.6303432089916896,0.36637899998459034,
