,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
27,0.50267,1.2,2,0.31836,0.36025,0.49429,27,2.00231,-0.35,-0.17594,0.32674,5,2U1D,1.0,True,0.351,0,False,left,0.0,1.311,1.636,0.3251,0.3198,0.8194,0.4996,V
28,0.50267,0.1,1,0.27647,0.42727,0.83779,28,2.23689,-0.61,-0.3016,0.19269,5,3U1D,2.0,True,0.474,1,True,right,0.0,0.2824,0.4736,0.1913,1.3074,1.8077,0.5003,A
29,0.50267,1.2,1,0.26809,0.35187,0.66185,29,2.73118,0.9,0.45241,0.9467,5,lapse_rate,1.0,True,0.842,0,False,left,0.0,0.2758,1.2181,0.9423,1.8759,2.3763,0.5004,A
30,0.50267,1.2,2,0.39376,0.36863,0.50267,30,2.63065,0.726,0.36025,0.86292,5,2D1U,2.0,True,0.298,2,True,right,0.0,1.401,2.2589,0.8579,0.4006,0.8995,0.4989,V
31,0.50267,0.1,2,0.33512,0.36025,0.47754,31,2.59715,0.85,0.42727,0.92157,5,3D1U,1.0,False,1.409,0,False,left,0.0,1.3167,2.232,0.9154,0.3409,0.8403,0.4993,V
32,0.50267,0.1,2,0.35187,0.23458,0.54456,32,1.68395,-0.9,-0.45241,0.05027,5,lapse_rate,1.0,True,5.076,0,False,left,0.0,1.3954,1.4455,0.0501,0.3544,0.854,0.4995,A
33,0.50267,1.2,2,0.31836,0.20107,0.76239,33,1.97718,-0.61,-0.3016,0.19269,5,3U1D,1.0,True,1.05,1,True,left,0.0,1.584,1.7759,0.1919,0.3263,0.8268,0.5005,V
34,0.50267,0.1,1,0.34349,0.27647,0.85454,34,2.949,0.95,0.47754,0.97183,5,3D1U,1.0,True,0.7,0,False,left,0.0,0.3484,1.3149,0.9665,2.1652,2.6652,0.5,A
35,0.50267,1.2,2,0.3016,0.35187,0.68699,35,2.16987,-0.35,-0.17594,0.32674,5,2U1D,1.0,True,0.216,0,False,left,0.0,1.4905,1.816,0.3255,0.3074,0.8073,0.4999,V
36,0.50267,0.1,2,0.25134,0.21782,0.50267,36,2.33742,0.726,0.36025,0.86292,5,2D1U,2.0,True,0.116,2,True,right,0.0,1.2534,2.1122,0.8588,0.253,0.7528,0.4999,V
