,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
124,0.4997,0.0,2,0.5163,0.5996,0.6746,124,3.0064,0.436,0.2165,0.7162,5,2D1U,2.0,True,0.416,2,False,right,0.0,1.6829183000372723,2.3994811000302434,0.7165627999929711,0.5081540000392124,1.0078399000340141,0.49968589999480173,
125,0.4997,0.0,2,0.5996,0.6412,0.5163,125,2.7565,-0.004,0.0,0.4997,5,1U1D,1.0,False,0.466,12,False,left,0.0,1.608039499958977,2.107751499977894,0.499712000018917,0.5910485999775119,1.0913890999509022,0.5003404999733903,
126,0.4997,0.0,2,0.533,0.4747,0.5413,126,2.5234,-0.044,-0.025,0.4747,5,1D1U,1.0,True,0.467,8,False,left,0.0,1.565471800044179,2.0406843000091612,0.47521249996498227,0.5235449000028893,1.0238169000367634,0.5002720000338741,
127,0.4997,0.0,2,0.508,0.5247,0.558,127,2.5484,-0.076,-0.0416,0.458,5,1U1D,1.0,True,1.425,13,True,left,0.0,1.558097600005567,2.0166936999885365,0.45859609998296946,0.4999392000027001,1.000029299990274,0.5000900999875739,
128,0.4997,0.0,1,0.4997,0.458,0.0083,128,1.9654,-0.004,0.0,0.4997,5,1U1D,1.0,False,0.458,14,True,left,0.0,0.49182870000367984,0.9916935000219382,0.4998648000182584,1.007307399995625,1.499929899990093,0.49262249999446794,
129,0.4997,0.0,2,0.5996,0.508,0.3248,129,2.615,0.364,0.1832,0.6829,5,2D1U,2.0,True,0.366,3,True,right,0.0,1.4167002000031061,2.099922399967909,0.6832221999648027,0.5914316999842413,1.0914589999592863,0.500027299975045,
130,0.4997,0.0,2,0.5413,0.4414,0.1083,130,1.9488,-0.292,-0.1499,0.3581,5,2U1D,1.0,True,0.409,8,True,left,0.0,1.141155900026206,1.499612400017213,0.35845649999100715,0.5332563000265509,1.0329266000189818,0.49967029999243096,
131,0.4997,0.0,1,0.5746,0.533,0.4497,131,2.5733,0.028,0.0167,0.5163,5,1D1U,2.0,False,1.974,8,False,right,0.0,0.5661366999847814,1.082824899989646,0.5166882000048645,1.5328458999865688,2.032675299968105,0.49982939998153597,
132,0.4997,0.0,2,0.4081,0.4913,0.6829,132,2.54,-0.076,-0.0416,0.458,5,1U1D,1.0,True,1.191,15,True,left,0.0,1.5835138999973424,2.0417738999822177,0.4582599999848753,0.40023050003219396,0.8999837000155821,0.4997531999833882,
133,0.4997,0.0,1,0.6412,0.6246,0.6412,133,3.0896,0.364,0.1832,0.6829,5,2D1U,1.0,True,0.325,3,True,left,0.0,0.6336027999641374,1.3165493999840692,0.6829466000199318,1.9582153999945149,2.4584442999912426,0.5002288999967277,
134,0.4997,0.0,2,0.4497,0.5496,0.6579,134,2.8065,0.292,0.1499,0.6496,5,2D1U,2.0,True,0.716,3,False,right,0.0,1.5996467000222765,2.249596300011035,0.6499495999887586,0.44142059999285266,0.9427894999971613,0.5013689000043087,
135,0.4997,0.0,2,0.4913,0.433,0.8578,135,2.8314,0.1,0.05,0.5496,5,1D1U,1.0,False,1.5,9,True,left,0.0,1.8412007999722846,2.3830254999920726,0.541824700019788,0.48316930001601577,0.9834430000046268,0.500273699988611,
136,0.4997,0.0,2,0.4913,0.4414,0.8661,136,2.6566,-0.292,-0.1499,0.3581,5,2U1D,1.0,True,1.433,8,True,left,0.0,1.849012600025162,2.207010200014338,0.3579975999891758,0.48247580003226176,0.9820296000107192,0.4995537999784574,
137,0.4997,0.0,2,0.4414,0.5163,0.7079,137,2.5567,-0.22,-0.1083,0.3914,5,2U1D,1.0,True,0.924,8,False,left,0.0,1.6402415999909863,2.031828699982725,0.3915870999917388,0.4321151999756694,0.9317525000078604,0.499637300032191,
