,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
19,0.50021,0.1,1,0.4085,0.20008,0.66695,19,2.61776,0.69,0.34181,0.84202,5,2D1U,1.0,True,1.563,1,True,left,0.0,0.0008279997855424881,2.6231871000491083,2.622359100263566,1.9070262000896037,2.407114800065756,0.5000885999761522,
20,0.50021,1.2,2,0.23343,0.29179,0.54189,20,2.37599,0.61,0.30846,0.80867,5,1D1U,2.0,True,1.626,3,True,right,0.0,0.0008092001080513,2.38091789977625,2.380108699668199,0.22358939982950687,0.7231137999333441,0.49952440010383725,
21,0.50021,0.1,2,0.28345,0.23343,0.51688,21,1.82576,-0.41,-0.20842,0.29179,5,1U1D,1.0,True,2.259,1,True,left,0.0,0.0007437001913785934,1.8322240998968482,1.8314803997054696,0.2744024000130594,0.7736081997863948,0.49920579977333546,
22,0.50021,1.2,2,0.44185,0.32514,0.8837,22,2.20092,-0.9,-0.45019,0.05002,5,lapse_rate,1.0,True,4.838,0,False,left,0.0,0.00035750027745962143,2.2072374001145363,2.2068798998370767,0.43170200008898973,0.9318718002177775,0.5001698001287878,
23,0.50021,1.2,2,0.21676,0.39183,0.44185,23,2.39267,0.69,0.34181,0.84202,5,2D1U,1.0,False,8.425,1,True,left,0.0,0.00035479990765452385,2.4053584998473525,2.405003699939698,0.2053864998742938,0.7050035996362567,0.4996170997619629,
24,0.50021,0.1,2,0.24177,0.3168,0.85869,24,2.70113,0.574,0.28345,0.78366,5,1D1U,2.0,True,0.483,4,True,right,0.0,0.00026140036061406136,2.706648000050336,2.706386599689722,0.2327319998294115,0.731827599927783,0.4990956000983715,
25,0.50021,1.2,2,0.34181,0.4085,0.64194,25,2.08421,-0.61,-0.30846,0.19175,5,2U1D,1.0,True,2.471,1,True,left,0.0,0.0006471001543104649,2.090752199757844,2.0901050996035337,0.3327625999227166,0.832120199687779,0.49935759976506233,
26,0.50021,0.1,2,0.35848,0.38349,0.68362,26,2.2426,-0.374,-0.18341,0.3168,5,1U1D,2.0,False,1.666,2,True,right,0.0,0.0007599997334182262,2.2480406002141535,2.2472806004807353,0.34809490013867617,0.8483350002206862,0.50024010008201,
27,0.50021,0.1,2,0.24177,0.41684,0.83368,27,2.9429,0.9,0.45019,0.9504,5,lapse_rate,2.0,True,0.715,0,False,right,0.0,0.00031219981610774994,2.9482645001262426,2.947952300310135,0.23202290013432503,0.7317248997278512,0.4997019995935261,
28,0.50021,1.2,2,0.21676,0.37516,0.64194,28,2.50106,0.538,0.26678,0.76699,5,1D1U,1.0,False,4.384,4,False,left,0.0,0.0002707000821828842,2.5069269998930395,2.5066562998108566,0.20672630006447434,0.7071630000136793,0.5004366999492049,
29,0.50021,0.1,2,0.45019,0.41684,0.83368,29,3.06795,0.726,0.36682,0.86703,5,2D1U,2.0,True,1.428,2,True,right,0.0,0.00028140004724264145,3.0735321999527514,3.0732507999055088,0.44123189989477396,0.9405388999730349,0.4993070000782609,
30,0.50021,1.2,1,0.39183,0.22509,0.55857,30,1.89246,-0.574,-0.28345,0.21676,5,2U1D,2.0,True,1.55,2,True,right,0.0,0.0002836999483406544,1.9063731003552675,1.9060894004069269,1.1562033002264798,1.6560256001539528,0.49982229992747307,
31,0.50021,1.2,1,0.33347,0.36682,0.49187,31,2.64277,0.9,0.45019,0.9504,5,lapse_rate,2.0,False,9.796,0,False,right,0.0,0.0006940001621842384,2.6484703002497554,2.647776300087571,1.7644898002035916,2.264580199960619,0.5000903997570276,
