standardDur,testDurS,deltaDurS,logDeltaDur,logDeltaDurMs,unbiasedVisualStandardDur,unbiasedVisualTestDur,audNoise,conflictDur,chose_test,chose_standard,responses
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
0.5,0.04838999999999999,-0.45161,-2.3353149176169645,-2.3353149176169645,0.25,0.04838999999999999,0.1,-0.25,0,1,1
