,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0.5,0.85,1,0.4,0.5667,0.7333,0,2.3,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,1.126,0,False,right
1,0.5,0.1,2,0.5833,0.6167,0.7,1,3.2333,0.65,0.3333,0.8333,5,3D1U,1.0,False,0.652,0,False,left
2,0.5,0.1,1,0.5833,0.4667,0.6333,2,3.0166,0.65,0.3333,0.8333,5,3U1D,1.0,True,0.967,0,False,left
3,0.5,0.85,2,0.5,0.5667,0.8333,3,3.2333,0.65,0.3333,0.8333,5,2D1U,2.0,True,0.297,0,False,right
