,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0.5,0.1,1,0.5333,0.5667,0.6167,0,3.05,0.65,0.3333,0.8333,5,3U1D,2.0,False,0.866,0,False,right
1,0.5,0.85,1,0.5167,0.5333,0.6,1,3.05,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.665,0,False,left
