,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0.5,1.0,2,0.35,0.35,0.5,0,2.5333,0.65,0.3333,0.8333,5,2D1U,1.0,False,1.477,0,False,left
1,0.5,1.0,1,0.3833,0.4333,0.7333,1,2.9499,0.8,0.4,0.9,5,lapse_rate,2.0,False,0.467,0,False,right
