,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0.5,0.1,2,0.4167,0.3,0.7,0,2.7167,0.6,0.3,0.8,5,3D1U,1.0,False,0.683,0,False,left
1,0.5,0.1,2,0.4167,0.3833,0.4167,1,1.9167,-0.6,-0.3,0.2,5,3U1D,1.0,True,0.666,0,False,left
2,0.5,0.1,1,0.2333,0.3667,0.8,2,2.7,0.6,0.3,0.8,5,2D1U,1.0,True,0.601,0,False,left
3,0.5,0.1,1,0.2667,0.35,0.7667,3,2.0834,-0.6,-0.3,0.2,5,3U1D,2.0,True,0.5,0,False,right
4,0.5,0.1,1,0.4167,0.4,0.8333,4,3.0167,0.75,0.3667,0.8667,5,3D1U,1.0,True,0.68,0,False,left
5,0.5,0.1,1,0.2333,0.2667,0.8833,5,2.7833,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.596,0,False,left
6,0.5,0.1,2,0.4333,0.2167,0.8667,6,2.2167,-0.6,-0.3,0.2,5,2U1D,1.0,True,0.685,0,False,left
