,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0.5,0.85,1,0.4667,0.4667,0.6333,0,2.9,0.65,0.3333,0.8333,5,3D1U,1.0,True,0.946,0,False,left
1,0.5,0.1,1,0.6167,0.5667,0.7167,1,2.5668,-0.65,-0.3333,0.1667,5,3U1D,2.0,True,0.618,0,False,right
2,0.5,0.1,2,0.5833,0.4833,0.6833,2,2.4166,-0.65,-0.3333,0.1667,5,3U1D,1.0,True,0.884,0,False,left
3,0.5,0.1,1,0.5333,0.55,0.6833,3,3.0999,0.65,0.3333,0.8333,5,3D1U,1.0,True,0.839,0,False,left
