,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
80,0.5,0.1,2,0.3833,0.4,0.7833,80,2.7499,0.358,0.1833,0.6833,5,2D1U,1.0,False,0.383,2,False,left
81,0.5,0.1,1,0.3,0.45,0.7833,81,2.7666,0.474,0.2333,0.7333,5,3D1U,1.0,True,0.617,4,True,left
82,0.5,0.1,2,0.4167,0.3333,0.5667,82,2.55,0.474,0.2333,0.7333,5,3D1U,1.0,False,0.31,4,True,left
83,0.5,0.1,1,0.4333,0.3667,0.6,83,2.25,-0.302,-0.15,0.35,5,2U1D,1.0,False,0.524,3,True,left
84,0.5,0.1,2,0.3167,0.4,0.75,84,2.2167,-0.51,-0.25,0.25,5,3U1D,1.0,True,0.401,1,False,left
85,0.5,0.1,2,0.2333,0.3,0.7,85,2.4333,0.394,0.2,0.7,5,2D1U,1.0,False,0.407,3,True,left
86,0.5,0.1,2,0.2667,0.35,0.8167,86,2.6834,0.51,0.25,0.75,5,3D1U,2.0,True,0.65,5,True,right
87,0.5,0.1,2,0.3667,0.4333,0.7333,87,2.7833,0.51,0.25,0.75,5,3D1U,2.0,True,0.216,5,True,right
88,0.5,0.1,1,0.4,0.3333,0.6,88,2.5833,0.51,0.25,0.75,5,3D1U,1.0,True,0.367,5,True,left
89,0.5,0.1,2,0.3667,0.25,0.5667,89,2.0167,-0.338,-0.1667,0.3333,5,2U1D,1.0,True,0.466,3,False,left
90,0.5,0.1,2,0.3,0.2667,0.8333,90,2.1667,-0.45,-0.2333,0.2667,5,3U1D,1.0,True,0.559,1,False,left
91,0.5,0.1,1,0.2333,0.4167,0.4167,91,2.2834,0.43,0.2167,0.7167,5,2D1U,1.0,True,0.4,3,False,left
92,0.5,0.1,1,0.4167,0.4,0.6,92,2.25,-0.338,-0.1667,0.3333,5,2U1D,1.0,False,0.317,3,False,left
93,0.5,0.1,1,0.3333,0.35,0.5833,93,2.0833,-0.374,-0.1833,0.3167,5,2U1D,2.0,True,0.218,3,False,right
94,0.5,0.1,1,0.45,0.45,0.6667,94,2.8,0.474,0.2333,0.7333,5,3D1U,1.0,True,0.194,6,True,left
95,0.5,0.1,2,0.2333,0.35,0.4167,95,2.2167,0.43,0.2167,0.7167,5,2D1U,1.0,False,0.367,3,False,left
96,0.5,0.1,2,0.3167,0.4,0.9,96,2.3834,-0.45,-0.2333,0.2667,5,3U1D,1.0,True,0.435,1,False,left
97,0.5,0.1,1,0.2833,0.2167,0.7833,97,2.5166,0.474,0.2333,0.7333,5,3D1U,1.0,True,0.435,6,True,left
98,0.5,0.1,2,0.35,0.45,0.4667,98,2.5,0.466,0.2333,0.7333,5,2D1U,2.0,True,0.275,3,False,right
99,0.5,0.1,2,0.2333,0.4167,0.8333,99,2.25,-0.45,-0.2333,0.2667,5,3U1D,1.0,True,0.427,1,False,left
100,0.5,0.1,1,0.4333,0.4,0.8833,100,2.5333,-0.374,-0.1833,0.3167,5,2U1D,2.0,True,0.325,3,False,right
101,0.5,0.1,1,0.4333,0.35,0.8833,101,2.8999,0.474,0.2333,0.7333,5,3D1U,1.0,True,0.45,6,True,left
102,0.5,0.1,2,0.3667,0.2,0.6667,102,2.4667,0.466,0.2333,0.7333,5,2D1U,1.0,False,0.349,3,False,left
103,0.5,0.1,2,0.2167,0.2333,0.8167,103,2.0667,-0.39,-0.2,0.3,5,3U1D,1.0,True,0.458,1,False,left
104,0.5,0.1,1,0.45,0.45,0.5,104,2.6167,0.438,0.2167,0.7167,5,3D1U,1.0,True,0.374,6,False,left
105,0.5,0.1,1,0.2167,0.4167,0.8,105,2.2667,-0.338,-0.1667,0.3333,5,2U1D,2.0,True,0.249,4,True,right
106,0.5,0.1,2,0.2833,0.2667,0.6,106,1.9833,-0.338,-0.1667,0.3333,5,2U1D,1.0,True,0.474,4,True,left
107,0.5,0.1,1,0.3667,0.3,0.7667,107,2.2834,-0.302,-0.15,0.35,5,2U1D,2.0,True,0.368,4,False,right
108,0.5,0.1,2,0.4333,0.3333,0.5167,108,2.0833,-0.39,-0.2,0.3,5,3U1D,1.0,True,0.358,1,False,left
109,0.5,0.1,1,0.2667,0.4,0.45,109,2.3334,0.438,0.2167,0.7167,5,3D1U,1.0,True,0.317,6,False,left
110,0.5,0.1,1,0.3,0.4167,0.4333,110,2.4,0.502,0.25,0.75,5,2D1U,1.0,True,0.442,3,False,left
111,0.5,0.1,2,0.2333,0.3167,0.4833,111,1.8833,-0.302,-0.15,0.35,5,2U1D,1.0,True,0.308,4,False,left
112,0.5,0.1,2,0.3333,0.4333,0.8667,112,2.8833,0.502,0.25,0.75,5,2D1U,2.0,True,0.183,3,False,right
113,0.5,0.1,2,0.25,0.25,0.8333,113,2.5666,0.466,0.2333,0.7333,5,2D1U,2.0,True,0.292,4,True,right
114,0.5,0.1,1,0.2667,0.3333,0.4333,114,1.9,-0.266,-0.1333,0.3667,5,2U1D,1.0,False,0.426,4,False,left
115,0.5,0.1,2,0.2667,0.2333,0.8167,115,2.5334,0.438,0.2167,0.7167,5,3D1U,2.0,True,0.382,6,False,right
116,0.5,0.1,2,0.2833,0.3167,0.4167,116,1.8167,-0.39,-0.2,0.3,5,3U1D,1.0,True,0.407,1,False,left
117,0.5,0.1,1,0.4,0.4333,0.6167,117,2.2833,-0.33,-0.1667,0.3333,5,3U1D,2.0,True,0.308,1,False,right
118,0.5,0.1,2,0.2667,0.25,0.7833,118,2.1333,-0.33,-0.1667,0.3333,5,3U1D,2.0,False,0.433,1,False,right
119,0.5,0.1,2,0.3,0.2667,0.8833,119,2.65,0.402,0.2,0.7,5,3D1U,1.0,False,0.559,6,False,left
120,0.5,0.1,1,0.4333,0.3667,0.45,120,2.4833,0.466,0.2333,0.7333,5,2D1U,1.0,True,0.259,4,True,left
121,0.5,0.1,1,0.3167,0.35,0.7833,121,2.3,-0.302,-0.15,0.35,5,2U1D,1.0,False,0.533,5,True,left
122,0.5,0.1,1,0.3833,0.35,0.5667,122,2.5167,0.43,0.2167,0.7167,5,2D1U,1.0,True,0.301,4,False,left
123,0.5,0.1,2,0.3667,0.3333,0.8333,123,2.3666,-0.338,-0.1667,0.3333,5,2U1D,1.0,True,0.4,5,False,left
124,0.5,0.1,2,0.2833,0.3167,0.7333,124,2.1666,-0.338,-0.1667,0.3333,5,2U1D,1.0,True,0.408,5,False,left
125,0.5,0.1,2,0.2333,0.2833,0.7667,125,2.1,-0.366,-0.1833,0.3167,5,3U1D,1.0,True,0.382,2,True,left
126,0.5,0.1,1,0.4333,0.4,0.8167,126,2.8667,0.438,0.2167,0.7167,5,3D1U,1.0,True,0.293,7,True,left
127,0.5,0.1,1,0.25,0.2,0.4167,127,2.0834,0.438,0.2167,0.7167,5,3D1U,1.0,True,0.4,7,True,left
128,0.5,0.1,1,0.2667,0.2667,0.5333,128,2.2834,0.438,0.2167,0.7167,5,3D1U,1.0,True,0.418,7,True,left
129,0.5,0.1,1,0.2333,0.3833,0.4333,129,1.8999,-0.302,-0.15,0.35,5,2U1D,1.0,False,0.599,6,True,left
130,0.5,0.1,2,0.25,0.2667,0.6167,130,2.3501,0.43,0.2167,0.7167,5,2D1U,2.0,True,0.2,4,False,right
131,0.5,0.1,2,0.3833,0.2333,0.4833,131,1.9166,-0.366,-0.1833,0.3167,5,3U1D,1.0,True,0.441,2,True,left
132,0.5,0.1,2,0.3,0.2833,0.85,132,2.2666,-0.338,-0.1667,0.3333,5,2U1D,1.0,True,0.516,7,True,left
133,0.5,0.1,2,0.2333,0.4167,0.5833,133,2.0666,-0.338,-0.1667,0.3333,5,2U1D,1.0,True,0.309,7,True,left
134,0.5,0.1,1,0.3,0.2167,0.8667,134,2.5834,0.402,0.2,0.7,5,3D1U,1.0,True,0.507,8,True,left
135,0.5,0.1,1,0.4,0.3,0.7667,135,2.6667,0.394,0.2,0.7,5,2D1U,1.0,True,0.433,4,False,left
136,0.5,0.1,1,0.35,0.4,0.6,136,2.1667,-0.366,-0.1833,0.3167,5,3U1D,2.0,True,0.618,2,True,right
137,0.5,0.1,2,0.2333,0.3167,0.4833,137,2.2333,0.402,0.2,0.7,5,3D1U,2.0,True,0.275,8,True,right
138,0.5,0.1,1,0.2333,0.25,0.4833,138,1.7999,-0.33,-0.1667,0.3333,5,3U1D,2.0,True,0.342,3,True,right
139,0.5,0.1,1,0.2667,0.2833,0.4333,139,1.8166,-0.33,-0.1667,0.3333,5,3U1D,2.0,True,0.516,3,True,right
140,0.5,0.1,2,0.45,0.25,0.4333,140,1.9833,-0.302,-0.15,0.35,5,2U1D,1.0,True,0.351,8,True,left
141,0.5,0.1,2,0.3167,0.4,0.7333,141,2.65,0.394,0.2,0.7,5,2D1U,1.0,False,0.383,4,False,left
142,0.5,0.1,2,0.2333,0.3167,0.4167,142,1.8167,-0.302,-0.15,0.35,5,2U1D,1.0,True,0.417,8,True,left
143,0.5,0.1,2,0.2167,0.4167,0.7167,143,2.5501,0.402,0.2,0.7,5,3D1U,2.0,True,0.308,8,True,right
144,0.5,0.1,2,0.2833,0.35,0.5833,144,2.3999,0.366,0.1833,0.6833,5,3D1U,2.0,True,0.283,8,False,right
145,0.5,0.1,1,0.3833,0.4167,0.5,145,2.5167,0.43,0.2167,0.7167,5,2D1U,1.0,True,0.267,5,True,left
146,0.5,0.1,1,0.2333,0.4333,0.75,146,2.2499,-0.33,-0.1667,0.3333,5,3U1D,2.0,True,0.391,3,True,right
147,0.5,0.1,2,0.25,0.2167,0.4333,147,1.75,-0.294,-0.15,0.35,5,3U1D,1.0,True,0.516,3,False,left
148,0.5,0.1,2,0.25,0.2333,0.5333,148,2.2333,0.43,0.2167,0.7167,5,2D1U,1.0,False,0.258,5,True,left
149,0.5,0.1,2,0.4167,0.2167,0.7,149,2.5667,0.466,0.2333,0.7333,5,2D1U,2.0,True,0.343,5,False,right
150,0.5,0.1,2,0.2667,0.35,0.7833,150,2.2667,-0.266,-0.1333,0.3667,5,2U1D,1.0,True,0.524,8,False,left
151,0.5,0.1,2,0.2333,0.25,0.7667,151,2.1,-0.294,-0.15,0.35,5,3U1D,1.0,True,0.44,3,False,left
152,0.5,0.1,1,0.4,0.3,0.5333,152,2.0833,-0.294,-0.15,0.35,5,3U1D,1.0,False,0.568,3,False,left
153,0.5,0.1,2,0.4,0.3333,0.7,153,2.2666,-0.33,-0.1667,0.3333,5,3U1D,1.0,True,0.4,4,True,left
