model,n_params,NLL,AIC,BIC,ΔAIC,ΔBIC
CI averaging,5,1351.5894575860787,2713.1789151721573,2742.46631910687,12.510720095211582,18.368200882153815
Forced fusion,4,1346.3340975384729,2700.6681950769457,2724.098118224716,0.0,0.0
Cue switching,6,1371.2953831516409,2754.5907663032817,2789.735651024937,53.922571226336004,65.63753280022092
