model,n_params,NLL,AIC,BIC,ΔAIC,ΔBIC
CI averaging,5,1485.3816622986744,2980.763324597349,3010.41075721392,20.940462341247894,15.010975817933286
Forced fusion,4,1485.004434908513,2978.008869817026,3001.726815910283,18.18600756092519,6.327034514296429
Cue switching,6,1473.9114311280505,2959.822862256101,2995.399781395987,0.0,0.0
