,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.5,1.2,1,0.3,0.425,0.74167,0,2.01667,-0.9,-0.45,0.05,5,2D1U,1.0,False,0.991,0,False,left,0.0,0.3521,0.4036,0.0515,1.2334,1.8017,0.5683,A
1,0.5,0.1,2,0.4,0.26667,0.40833,1,1.625,-0.9,-0.45,0.05,5,1D3U,2.0,False,0.751,0,False,right,0.0,1.4342,1.4885,0.0544,0.4532,0.9878,0.5346,V
2,0.5,1.2,1,0.425,0.40833,0.80833,2,2.19166,-0.9,-0.45,0.05,5,2D1U,2.0,True,2.118,0,False,right,0.0,0.4277,0.4773,0.0497,1.5185,2.1449,0.6264,A
