,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.49993,1.2,2,0.43328,0.29163,0.84989,0,2.24971,-0.65,-0.32496,0.17498,5,3U1D,1.0,True,2.64,0,False,left,0.0,1.7925,1.9666,0.1742,0.4416,0.9418,0.5002,V
1,0.49993,0.1,2,0.27496,0.36662,0.80823,1,2.12472,-0.65,-0.32496,0.17498,5,2U1D,1.0,True,1.042,0,False,left,0.0,1.5868,1.7624,0.1755,0.2786,0.7784,0.4998,A
2,0.49993,1.2,2,0.20831,0.39162,0.47494,2,1.74978,-0.65,-0.32496,0.17498,5,3U1D,2.0,False,0.767,0,False,right,0.0,1.1869,1.3631,0.1763,0.212,0.7121,0.5,V
3,0.49993,1.2,2,0.40828,0.31663,0.80823,3,2.08306,-0.9,-0.44994,0.04999,5,lapse_rate,1.0,True,0.892,0,False,left,0.0,1.7216,1.7716,0.05,0.4126,0.9132,0.5006,A
4,0.49993,0.1,1,0.22497,0.35829,0.71657,4,2.62465,0.65,0.32496,0.82489,5,2D1U,1.0,True,1.034,0,False,left,0.0,0.2299,1.0548,0.8249,1.7719,2.2712,0.4993,A
5,0.49993,1.2,1,0.39995,0.40828,0.48327,5,2.61632,0.65,0.32496,0.82489,5,3D1U,1.0,True,1.083,0,False,left,0.0,0.4023,1.2277,0.8254,1.7103,2.2104,0.5001,A
6,0.49993,0.1,1,0.42494,0.44994,0.46661,6,2.0164,-0.65,-0.32496,0.17498,5,2U1D,2.0,True,0.167,0,False,right,0.0,0.4319,0.6078,0.1759,1.0741,1.5736,0.4996,A
7,0.49993,1.2,2,0.29996,0.35829,0.45827,7,2.44134,0.65,0.32496,0.82489,5,3D1U,2.0,True,1.058,0,False,right,0.0,1.2615,2.0864,0.8249,0.3037,0.8037,0.4999,V
8,0.49993,0.1,2,0.29996,0.34995,0.42494,8,1.69976,-0.75,-0.37495,0.12498,5,3U1D,1.0,True,0.525,0,False,left,0.0,1.2279,1.3538,0.1259,0.304,0.8036,0.4996,A
9,0.49993,1.2,2,0.2833,0.24997,0.72491,9,1.8081,-0.9,-0.44994,0.04999,5,lapse_rate,1.0,True,0.533,0,False,left,0.0,1.518,1.5688,0.0508,0.2929,0.7927,0.4999,V
