,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
27,0.49991,0.1,1,0.34993,0.3666,0.84984,27,2.84114,0.55,0.27495,0.77486,5,3D1U,1.0,True,0.175,0,False,left,0.0,0.3535,1.1273,0.7738,1.9783,2.4774,0.4991,V
28,0.49991,1.2,2,0.3416,0.44158,0.40826,28,2.44954,0.51,0.25829,0.75819,5,2D1U,2.0,True,0.79,1,True,right,0.0,1.2567,2.0143,0.7576,0.348,0.8469,0.4988,V
29,0.49991,0.1,1,0.41659,0.23329,0.42492,29,1.89965,-0.35,-0.17497,0.32494,5,2U1D,1.0,False,0.36,0,False,left,0.0,0.4209,0.7466,0.3258,1.1713,1.6717,0.5004,V
30,0.49991,1.2,1,0.3416,0.29994,0.81651,30,2.18292,-0.55,-0.27495,0.22496,5,3U1D,2.0,True,0.342,0,False,right,0.0,0.3499,0.5747,0.2248,1.3922,1.8917,0.4995,V
31,0.49991,1.2,1,0.29994,0.21663,0.77486,31,2.74116,0.9,0.44992,0.94982,5,lapse_rate,1.0,True,0.292,0,False,left,0.0,0.3097,1.2602,0.9505,2.0345,2.5345,0.5,V
32,0.49991,0.1,2,0.20829,0.30828,0.85817,32,2.16626,-0.41,-0.20829,0.29161,5,2U1D,1.0,True,0.767,1,True,left,0.0,1.5765,1.8681,0.2916,0.2181,0.7177,0.4996,V
33,0.49991,1.2,2,0.41659,0.3416,0.8915,33,2.90779,0.51,0.25829,0.75819,5,2D1U,2.0,True,0.135,1,True,right,0.0,1.8111,2.5696,0.7585,0.4194,0.9194,0.5,A
34,0.49991,0.1,2,0.22496,0.3416,0.54157,34,2.3329,0.45,0.22496,0.72486,5,3D1U,2.0,True,0.175,0,False,right,0.0,1.2769,2.0007,0.7239,0.2346,0.7341,0.4996,V
35,0.49991,0.1,2,0.3416,0.24162,0.50824,35,2.54119,0.9,0.44992,0.94982,5,lapse_rate,2.0,True,0.166,0,False,right,0.0,1.3533,2.3022,0.9489,0.3447,0.8443,0.4996,A
36,0.49991,1.2,1,0.24162,0.19996,0.49991,36,1.71635,-0.45,-0.22496,0.27495,5,3U1D,1.0,False,1.458,0,False,left,0.0,0.2461,0.5224,0.2762,1.0219,1.5223,0.5004,V
37,0.49991,1.2,1,0.26662,0.29994,0.60822,37,1.72468,-0.9,-0.44992,0.04999,5,lapse_rate,2.0,True,0.258,0,False,right,0.0,0.2763,0.3261,0.0499,0.9338,1.4347,0.5008,A
38,0.49991,0.1,2,0.3416,0.27495,0.39993,38,2.24959,0.474,0.23329,0.7332,5,2D1U,1.0,False,0.625,2,True,left,0.0,1.2468,1.9801,0.7333,0.3469,0.848,0.501,A
39,0.49991,1.2,1,0.27495,0.38326,0.41659,39,1.81633,-0.51,-0.25829,0.24162,5,3U1D,2.0,True,0.408,1,True,right,0.0,0.2835,0.5248,0.2413,0.9419,1.442,0.5,A
40,0.49991,0.1,2,0.41659,0.33327,0.81651,40,2.35789,-0.41,-0.20829,0.29161,5,2U1D,1.0,True,0.392,1,True,left,0.0,1.7411,2.0342,0.2931,0.4258,0.9255,0.4998,A
