,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.5,1.2,2,0.35,0.39167,0.475,0,1.76667,-0.9,-0.45,0.05,5,1D2U,1.0,True,0.875,0,False,left,0.0,1.3594,1.4115,0.0521,0.3889,0.8893,0.5004,V
1,0.5,0.1,2,0.41667,0.45,0.56667,1,1.98334,-0.9,-0.45,0.05,5,3D1U,1.0,True,0.377,0,False,left,0.0,1.4899,1.5385,0.0486,0.421,0.922,0.501,A
2,0.5,1.2,2,0.2,0.325,0.88333,2,1.95833,-0.9,-0.45,0.05,5,1D2U,2.0,False,0.449,0,False,right,0.0,1.6027,1.6525,0.0498,0.2172,0.7183,0.5011,A
