,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
27,0.50069,1.2,2,0.45062,0.23366,0.60917,27,2.01945,-0.55,-0.27538,0.22531,5,3U1D,1.0,True,0.741,0,False,left,0.0,1.5612,1.7863,0.2251,0.453,0.9536,0.5006,A
28,0.50069,0.1,1,0.41724,0.29207,0.82614,28,2.24476,-0.586,-0.29207,0.20862,5,2U1D,2.0,True,0.141,2,True,right,0.0,0.4242,0.6323,0.208,1.4576,1.9587,0.5011,A
29,0.50069,1.2,1,0.36717,0.41724,0.8178,29,3.05421,0.91,0.45897,0.95131,5,2D1U,2.0,False,0.325,1,True,right,0.0,0.3716,1.3216,0.95,2.1384,2.6383,0.5,V
30,0.50069,1.2,2,0.4089,0.34214,0.55911,30,2.76215,0.9,0.45062,0.95131,5,lapse_rate,2.0,True,0.54,0,False,right,0.0,1.469,2.4193,0.9502,0.412,0.9119,0.4998,A
31,0.50069,0.1,2,0.30041,0.33379,0.45062,31,2.46172,0.76,0.38386,0.87621,5,3D1U,2.0,True,0.301,1,True,right,0.0,1.2567,2.1305,0.8738,0.3071,0.806,0.4988,A
32,0.50069,1.2,2,0.36717,0.25035,0.79276,32,2.21138,-0.4,-0.20028,0.30041,5,3U1D,1.0,True,1.26,0,False,left,0.0,1.6644,1.965,0.3006,0.3734,0.8727,0.4992,V
33,0.50069,0.1,2,0.42559,0.4089,0.47566,33,2.68705,0.76,0.38386,0.87621,5,3D1U,2.0,True,0.591,1,True,right,0.0,1.4087,2.2831,0.8744,0.4334,0.9339,0.5005,A
34,0.50069,1.2,1,0.45062,0.35883,0.83449,34,2.35325,-0.586,-0.29207,0.20862,5,2U1D,2.0,True,0.692,2,True,right,0.0,0.4562,0.6644,0.2083,1.4977,1.9985,0.5008,V
35,0.50069,0.1,2,0.23366,0.22531,0.5758,35,2.52015,0.964,0.484,0.98469,5,2D1U,2.0,True,0.401,2,True,right,0.0,1.3116,2.2949,0.9833,0.2365,0.7379,0.5015,V
36,0.50069,1.2,2,0.38386,0.34214,0.84283,36,2.11959,-0.9,-0.45062,0.05007,5,lapse_rate,2.0,False,1.776,0,False,right,0.0,1.7321,1.7821,0.0501,0.3914,0.8909,0.4995,A
37,0.50069,1.2,1,0.40055,0.30876,0.64255,37,2.15296,-0.4,-0.20028,0.30041,5,3U1D,1.0,False,1.259,0,False,left,0.0,0.4049,0.7044,0.2995,1.3459,1.846,0.5001,A
38,0.50069,0.1,1,0.20862,0.36717,0.66759,38,2.72876,0.964,0.484,0.98469,5,2D1U,1.0,True,79.658,2,True,left,0.0,0.2149,1.1977,0.9828,1.8641,2.3644,0.5004,A
39,0.50069,1.2,1,0.20028,0.40055,0.80111,39,2.77884,0.76,0.38386,0.87621,5,3D1U,1.0,True,0.316,1,True,left,0.0,0.2021,1.0776,0.8754,1.8773,2.377,0.4997,A
40,0.50069,0.1,2,0.37552,0.3171,0.75938,40,2.00276,-0.9,-0.45062,0.05007,5,lapse_rate,1.0,True,0.374,0,False,left,0.0,1.6373,1.6875,0.0502,0.3782,0.879,0.5008,V
41,0.50069,0.1,2,0.30876,0.26704,0.62586,41,1.93601,-0.532,-0.26704,0.23366,5,2U1D,1.0,True,0.384,2,False,left,0.0,1.4366,1.6698,0.2333,0.3124,0.812,0.4997,A
42,0.50069,1.2,2,0.36717,0.44228,0.70097,42,2.24477,-0.532,-0.26704,0.23366,5,2U1D,2.0,False,0.309,2,False,right,0.0,1.5706,1.8035,0.2329,0.3693,0.8703,0.501,V
43,0.50069,0.1,1,0.41724,0.21697,0.50069,43,2.47008,0.67,0.33379,0.83449,5,3D1U,2.0,False,0.268,1,False,right,0.0,0.4223,1.2561,0.8338,1.7561,2.2556,0.4995,A
44,0.50069,1.2,1,0.38386,0.30041,0.43393,44,1.87758,-0.49,-0.242,0.25869,5,3U1D,2.0,True,0.251,1,True,right,0.0,0.3915,0.6496,0.2581,1.0828,1.5828,0.5001,A
45,0.50069,0.1,1,0.20028,0.34214,0.5758,45,2.57022,0.91,0.45897,0.95131,5,2D1U,1.0,True,0.441,3,True,left,0.0,0.2064,1.1563,0.9499,1.7321,2.2308,0.4988,A
46,0.50069,1.2,2,0.28373,0.35883,0.79276,46,1.98608,-0.9,-0.45062,0.05007,5,lapse_rate,1.0,True,0.493,0,False,left,0.0,1.5832,1.633,0.0498,0.2917,0.7909,0.4992,V
47,0.50069,1.2,2,0.25035,0.44228,0.80945,47,2.26146,-0.49,-0.242,0.25869,5,3U1D,2.0,False,0.384,1,True,right,0.0,1.5632,1.8206,0.2575,0.2539,0.7538,0.4999,V
48,0.50069,0.1,2,0.33379,0.34214,0.87621,48,2.91235,0.724,0.35883,0.85952,5,3D1U,2.0,True,0.292,2,True,right,0.0,1.7109,2.5695,0.8587,0.3356,0.8356,0.5,V
49,0.50069,1.2,1,0.25035,0.20862,0.484,49,2.39497,0.9,0.45062,0.95131,5,lapse_rate,2.0,False,0.583,0,False,right,0.0,0.2554,1.2048,0.9494,1.6888,2.1879,0.4991,V
50,0.50069,1.2,2,0.242,0.26704,0.50904,50,2.47008,0.91,0.45897,0.95131,5,2D1U,2.0,True,0.376,3,True,right,0.0,1.2583,2.2086,0.9503,0.2492,0.7494,0.5002,A
51,0.50069,0.1,1,0.40055,0.44228,0.62586,51,2.178,-0.586,-0.29207,0.20862,5,2U1D,2.0,True,0.641,3,True,right,0.0,0.4045,0.6137,0.2092,1.2388,1.7385,0.4997,V
52,0.50069,1.2,2,0.242,0.35048,0.56745,52,2.52014,0.724,0.35883,0.85952,5,3D1U,1.0,False,0.325,2,True,left,0.0,1.3162,2.1751,0.8589,0.2494,0.75,0.5006,V
