,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.49859,1.2,1,0.4238,0.40718,0.86423,0,3.14113,0.9,0.44873,0.94733,5,lapse_rate,1.0,True,2.627,0,False,left,0.0,0.4319,1.382,0.9501,2.2491,2.749,0.4999,V
1,0.49859,1.2,1,0.24099,0.2493,0.81437,1,1.97776,-0.65,-0.32408,0.17451,5,3U1D,2.0,True,0.966,0,False,right,0.0,0.2499,0.4249,0.1749,1.2419,1.7418,0.4999,V
2,0.49859,0.1,2,0.33239,0.25761,0.73127,2,1.99437,-0.65,-0.32408,0.17451,5,2U1D,1.0,True,1.392,0,False,left,0.0,1.5713,1.7466,0.1753,0.3384,0.8371,0.4987,A
3,0.49859,0.1,2,0.43211,0.20775,0.73127,3,1.91958,-0.9,-0.44873,0.04986,5,lapse_rate,2.0,False,0.849,0,False,right,0.0,1.6741,1.724,0.0499,0.4398,0.9407,0.5009,A
4,0.49859,1.2,2,0.4238,0.29085,0.77282,4,2.80874,0.65,0.32408,0.82268,5,3D1U,1.0,False,1.509,0,False,left,0.0,1.7051,2.5292,0.824,0.4293,0.9302,0.501,V
